title,company,company_link,company_logo,location,job_link,employment_details,employment_pay,description_list,employment_skills,date_posted,date_updated,scraped_at
 Software Engineer , Institute for Advanced Study ,https://www.dice.com/company/hirblok?companyname=InstituteforAdvancedStudy,https://cdn.filestackcontent.com/DKgl2bTTA3maTfcl1ugc," Princeton, NJ, USA ",https://www.dice.com/job-detail/f897b5c1-9508-41d2-90f7-d0486cdb22fb,Full Time,Depends on Experience,"Position Summary

Reporting to the IT Manager, Software Engineering and working with administrative and technical staff, will develop, modify and maintain applications and projects in support of the Institute’s custom web-based and CLI-based software and public websites.

Essential Job Duties

Build, maintain and monitor custom web and CLI software applications.  (60%)

- Under the guidance of the IT Manager, develop and integrate software systems in support of the Institute’s initiatives- Employ proper change management and software development lifecycle techniques- Work with peers and end users to develop requirements and provide support for software systems
Build, maintain and monitor public websites. (30%)

- Work with Institute stakeholders and outside partners to develop and maintain the Institute’s web presence.- Conduct routine testing and assessments of existing sites and their functionality- Support IAS content contributors in their use of these sites
All other duties and responsibilities, as assigned by the IT Manager, Software Engineering (10%)

Minimum Qualifications

- BA or BS Degree in Computer Science, Information Technology or a related field- 3+ years related work experience- Contributes to open-source software projects- Demonstrates experience with one or more backend web development frameworks, such as Spring, Django, Laravel, Symfony, Ruby on Rails, or Node.js.- Proficiency in an object-oriented programming language- Experience working with relational database systems: querying, foreign keys, table creation, etc.- Experience working in a Linux terminal- Skillful at debugging runtime issues on production systems- Demonstrates an ability to learn new technologies- Interested in and adept at building software systems and tools- Comfortable selecting tools and technologies- Strong communication skills - both verbal and in writing
Supervisory Responsibilities

·       None

Working Conditions

·       Must be able to remain in a stationary position for prolonged periods of time.

The Institute for Advanced Study retains the right to change or assign other duties to this position at any time.

To perform this role successfully, an individual must be able to perform each essential job duty satisfactorily. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform essential job functions.

Diversity, Equity & Inclusion Statement

At the Institute for Advanced Study’s creation in 1930, the founders wrote: “fundamental in our purpose, and our express desire, [is] that in the appointments to the Staff and Faculty as well as in the admission of workers and students, no account shall be taken, directly or indirectly, of race, religion, or sex.”  We recognize these ideals require continual examination of our culture. Today, we strive to create a community in which all people feel welcomed, respected, and valued.  We seek to address the harmful effects of inequity and discrimination on individual Scholars, Faculty, Staff, and scholarship as a whole.  We affirm equality and embrace our differences as we work to transform principles into action and grow new forms of scholarly community.

We offer a competitive salary and benefits package which includes partially Institute paid health, vision and dental insurance, an excellent retirement plan, and a generous paid time off program.

","Django,Laravel,Linux,Node . js,Rails,object - oriented programming,web development,change management,software development lifecycle",Posted 14 days ago, - Updated 7 hours ago ,2023-12-18 23:50:03
 Lead Systems Software Engineer , Trideum Corporation ,https://www.dice.com/company/10125307?companyname=TrideumCorporation,https://cdn.filestackcontent.com/P9TwVzJRqqi5E8D2Inxc," Huntsville, AL, USA ",https://www.dice.com/job-detail/d072958a-2ff9-4c33-8120-e1431764188d,Full Time,Depends on Experience,"Lead Systems Software EngineerFull-TimeHuntsville, AL

About UsTrideum Corporation is a privately-owned company, committed to embracing the world’s toughest challenges with a servant’s heart. Through dedicated hard work and commitment, we provide distinctive quality and unparalleled customer service in all aspects of our business. We also know that our employees are the key to our success, and it is our mission to take care of them so they can take care of our customers and communities where we live, work, and play.

Position SummaryWe are seeking candidates who are passionate about creating the next generation of products and services. We provide our employees with a challenging and supportive work environment and are known for treating our employees like family.

Are you a trailblazer in systems software engineering, eager to shape the future of cutting-edge products and services?

Trideum Corporation is seeking a Lead Systems Software Engineer supporting the Advancing Operational Test Infrastructure (AOTI) effort. This effort is developing software capabilities for Operational Test Command to Plan, Prepare, Execute, and Assess Data across test event lifecycles. The person in this role will be responsible for leading and setting the tone for the program’s systems engineering efforts including (but not limited to) system design, high level architecture, interface definitions, and system behaviors. As a Lead Systems Software Engineer, you'll spearhead the program's systems engineering efforts, steering system design, high-level architecture, interface definitions, and system behaviors. Your role is pivotal in bridging the gap between technical and non-technical stakeholders, requiring effective communication and collaboration. This is a full-time position that will work in the Trideum office in Huntsville, AL at least 4 days a week (Hybrid of in-office and remote work).

What You'll Do: Your day-to-day activities include, but are not limited to:

- Lead and guide the AOTI program's engineering initiatives.- Lead the Systems Engineering team in deriving requirements that guide the software development team to create the products to meet our customers' needs.- Identify stakeholder, customer and user needs in conjunction with UX Research team to design new systems and/or improve existing systems to meet these needs.- Conduct research to identify new technologies that could improve existing products or processes- Lead and perform critical Systems Engineering activities such as requirements development, functional analysis, and technical documentation.- Coordinate with program management personnel to prioritize programmatic and technical objectives.- Implement Risk Management Processes by facilitating the Risk Management Board, coordinating risk assessments with stakeholders, maintaining mitigation action plans, and providing reports to inform leadership of current program risk posture on a regular basis.- Apply Model Based Systems Engineering (MBSE) processes within standard toolsets in a manner that enables efficient and effective response to changing mission needs and rapidly evolving system requirements.- Provide mentorship and technical guidance to your team members.- Less than 25% travel may be required.
Required Qualifications:

- Bachelor’s Degree in a technical discipline (e.g., engineering, science, computer science/engineering)- 10+ years of relevant system engineering experience- Strong written and verbal communication skills- Proficiency in software development lifecycles and Agile methodologies- Expertise in software system architecture and subsystem-level requirements- Experience in MBSE and related tools such as CAMEO and Enterprise Architect- An Active DoD Secret Clearance
Desired Qualifications:

- Experience in LVC (Live, Virtual, and Constructive) test or training environments- Background in DoD operational test environments- Familiarity with cyber testing, network security, MITRE ATT&CK, etc.- Familiarity with DoD software and systems development- Experience with TENA-based systems- Experience modeling systems with Enterprise Architect or CAMEO- Experience with containerized applications and tooling (Docker, Kubernetes, etc.)- Experience with project management tools and methodologies- Familiarity with Modular Open Systems Architecture Standards with Standard Key Interfaces using (FACE, SOSA, SISO, etc.)- CSEP or other relevant certification(s)- Demonstrated team leadership experience is desired
We Take Care of Our PeopleWhether you’re looking to launch a new career or grow an existing one, Trideum is the type of company where you can balance great work with great life because we believe that taking care of our people is the right thing to do. Trideum offers:

- Competitive pay based on the work you do here and not your previous salary.- Traditional benefits such as medical, dental, vision, life, disability, and 401k matching.- Paid leave and the ability to cash out leave.- Free access to certified financial planners, wellness and support services, and discount programs.- Education assistance and professional development opportunities.- And much more.
Ready to Apply?Start Your Application now!

Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, disability, veteran status, genetic information, sexual orientation, gender identity, or any other characteristic protected by law. People with disabilities who need a reasonable accommodation to apply or compete for employment with Trideum may request such accommodation(s) by contacting Human Resources at  or .

","systems engineering,secret clearance,system engineering",Posted 34 days ago, - Updated 9 hours ago ,2023-12-18 23:50:03
 Software Engineer III , Randstad Digital ,https://www.dice.com/company/cxsapwma1?companyname=RandstadDigital,https://cdn.filestackcontent.com/ThuKEP9mQKQQG1wIBCAY," Charlotte, NC, USA ",https://www.dice.com/job-detail/330acf39-39d6-4bd5-967d-94ea02ce7d63,Contract - W2,USD61 - USD71,"Description:

Position will be halted by 12/28.

Skills Assessments are planned to take place the 2nd week of January.

Top 3 must haves:

1) Jetpack compose

2) View model/ROOM

3) Cloud native API/native mobile builds- resumes will not be shortlisted if they do not explain mobile experience in enough detail

Location: open to fully remote candidates. Preference will be given to those in Charlotte. If local to Charlotte, candidates will need to work a hybrid schedule with the rest of the team.

+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

Client's Customer Mobile App is looking for a creative, self-driven, and seasoned Android Senior Software Engineer to join our agile culture. This role works on an array of challenging problems in the customer space having a direct impact on the day-to-day experiences of both our field workers and customers alike.

Team collaboration, collective work efforts and knowledge share are standard practices for our group and a key mindset for this role.

Sr SEs manage their sprint backlog tasks with minimal supervision. They are highly communitive and engaged with the team. SrSEs are highly skilled in their development concepts and have a good regard for best practices. They identify problems, collaborate on solutions, take actions to resolve and are accountable for outcomes.

Required Qualifications:

Bachelor's degree in computer science or a related discipline as well as 8+ years in Android development. Familiarity with native mobile application development.

Job-specific knowledge, skills, or abilities:

- Knowledge and use of dependency injection

- Exposure to Modern Architecture familiarity with ROOM, ViewModel, Jetpack Compose, Jetpack Navigation and Kotlin (including scope and extension functions)

- Experience with the concept of modularization

- Full stack Android development (clean code practices, custom views, Jetpack Compose, creation of AAR libraries, refactoring, unit testing and debugging)

- Familiarity of SOLID principles and Android Lifecycle

- Demonstrated success in complex problem solving and an understanding of quality delivery

- Experience with Cloud native APIs

- Effective communication skills, ability to work well with others having differing priorities/views/goals than your own; to meet your goals

Preferred Qualifications:

- Familiarity with Dynatrace

- Familiarity with Jira and teams leveraging an Agile framework (Scrum and Kanban)

- Experience with Retrofit and RESTFUL API and prior use of a Concourse Pipeline

Participates in team ceremonies, engages, communicates well, works closely with others on large scale efforts

- Designs, develops/deploys innovative and advanced Android applications as part of a team

- Evaluates, shares, and implements new technology to optimize performance, usability, and overall product improvement

- Maintains records to document system and programming development and revisions

- Shares knowledge and insight to improve the product and overall team skill set

- Leverages automation and best practices when applicable to deliver quality solutions

- Applies iterative development to continuously deliver value through frequent deployments

- Ensures adherence to appropriate design, coding, and cybersecurity standards

- Participates in Production Support team rotation

- Participates in design and code walk-throughs

- Pairs with our iOS Software Engineers developing the iOS front end application to ensure collaborative solutions across operating systems to our customers

- Engages with the backend Facade application team, to cycle login box activities

- Experience level: Experienced- Education: Bachelors
",Software Engineer III,Posted 3 hours ago,Updated Never,2023-12-18 23:50:03
 Software Engineer IV , Randstad Digital ,https://www.dice.com/company/cxsapwma1?companyname=RandstadDigital,https://cdn.filestackcontent.com/ThuKEP9mQKQQG1wIBCAY," Charlotte, NC, USA ",https://www.dice.com/job-detail/77b65341-1347-43a2-93d9-1b93916a612c,Contract - W2,USD70 - USD80,"Description:

Position will be halted by 12/28.

Skills Assessments are planned to take place the 2nd week of January.

Top 3 must haves:

1) MVC and MVVM

2) Swift UI experience

3) Native mobile app experience- resumes will not be shortlisted if they do not explain mobile experience in enough detail

Location: open to fully remote candidates. Preference will be given to those in Charlotte. If local to Charlotte, candidates will need to work a hybrid schedule with the rest of the team.

+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

Client's Customer Mobile App is looking for a creative, self-driven, and seasoned iOS Senior Software Engineer to join our agile culture. This role works on an array of challenging problems in the customer space having a direct impact on the day-to-day experiences of both our field workers and customers alike.

Team collaboration, collective work efforts and knowledge share are standard practices for our group and a key mindset for this role.

Sr SEs manage their sprint backlog tasks with minimal supervision. They are highly communitive and engaged with the team. SrSEs are highly skilled in their development concepts and have a good regard for best practices. They identify problems, collaborate on solutions, take actions to resolve and are accountable for outcomes.

Typical Functions:

- Leverages CICD automation and best practices to deliver quality solutions to our end users

- Participates in team ceremonies, engages, communicates well, works closely with others on large scale efforts

- Designs, develops/deploys innovative and advanced iOS applications as part of a team

- Evaluates, shares, and implements new technology to optimize performance, usability, and overall product improvement

- Maintains records to document system and programming development and revisions

- Shares knowledge and insight to improve the product and overall team skill set

- Leverages automation and best practices when applicable to deliver quality solutions

- Applies iterative development to continuously deliver value through frequent deployments

- Ensures adherence to appropriate design, coding, and cybersecurity standards

- Participates in Production Support team rotation

- Participates in design and code walk-throughs

- Pairs with our Android Software Engineers developing the Android front end application to ensure collaborative solutions across operating systems to our customers

- Engages with the backend Facade application team, to cycle login box activities

Required Qualifications:

Bachelor's degree in computer science or a related discipline as well as 8+ years in iOS development. Familiarity with native mobile application development.

Job-specific knowledge, skills, or abilities:

- Solid experience of building native iOS applications with both UIKit and SwiftUI

- Understanding of design patterns such as MVC & MVVM

- Experience with Firebase/Crashlytics or similar app crash analysis tools

- Experience with Cocoapods, TestFlight, Swift Package Manager

- Good knowledge on foreground/background processing and multithread programming techniques

- Familiarity with Git branching strategies and release build management

- Adherence and self-organization for unit testing UI + functionality against requirements

- Experience with Pivotal Cloud Foundry, AWS, Azure, Google Cloud Platform or other cloud platforms

- Good troubleshooting, analytical and critical thinking skills; Demonstrated success in complex problem solving and an understanding of quality delivery

- Effective communication skills, ability to work well with others having differing priorities/views/goals than your own; to meet your goals

Preferred Qualifications:

- Understand and lead others in use of System Development Life Cycle (SDLC)

- Familiarity with Dynatrace

- Familiarity with Jira and teams leveraging an Agile framework (Scrum and Kanban)

- Exposure to code scanning tools such as SonarQube and CheckMarx

NA

- Experience level: Experienced- Education: Bachelors
",Software Engineer IV,Posted 6 hours ago, - Updated 3 hours ago ,2023-12-18 23:50:03
 Software Engineer IV , Randstad Digital ,https://www.dice.com/company/cxsapwma1?companyname=RandstadDigital,https://cdn.filestackcontent.com/ThuKEP9mQKQQG1wIBCAY," Charlotte, NC, USA ",https://www.dice.com/job-detail/9c94288e-a788-4de2-b8d2-39d00440635e,Contract - W2,USD84 - USD94,"Description:

AWS Developer - iGrid

- Languages: Python (MUST),

- AWS (MUST) - s3, DynamoDB (or equivalent noSQL), API gateway (REST API), Batch(optional), EC2, Glue, Lake Formation,

- Electrical Engineering background or Utility experience

- Other Technologies: Kafka/messaging, Kubernetes

- DevOps/CICD: Bitbucket (this is a MUST - but can be an equivalent eg. Github/Gitlab), Concourse (desired or Jenkins)

- Good in Test Driven Development

""What are we looking for? Motivated and energetic engineers who are passionate about building amazing software.

Lead Software Engineers are primarily responsible for designing highly complex solutions then building and overseeing the execution of those designs.

Individuals with this role are required to:

- Design and build highly complex software solutions using agile/XP/TDD.

- Lead a team in programing well-designed, efficient code independently.

- Collaborate with designers, developers, and product owners to build cloud native software solutions targeting PCF, Azure, AWS, mobile iOS/Android, etc.

- Clearly communicate team wide progress and identify blocking processes/patterns that hold a team back.

- Participate in paired programming and code reviews with mentees to expand the team's collective knowledge and understanding of software engineering.

- Complete independent research to refine best practices and present work to peers. Lead Software Engineers must possess:

- A breadth of experience building software solutions (through a good mix of independent research/projects and industry expertise).

- 7-9 years' previous experience in software development. (Either 9 years of experience specifically in software development or seven years of experience in software development in combination with 2 years alternative experience in a related field). Ideally has a portfolio of work - code samples, etc.

- Significant familiarity and comfort in using IDEs. Knows short-cuts and frequents operations that speeds up development time.

- Deep and solid understanding of APIs. Have been involved in designing/building/implementing APIs.

- Considered an expert of cloud-native software engineering best practices.

- Familiarity with a several frameworks. Resulting code is concise and easy-to-follow.

- Ability to build a custom framework (when necessary).

- Experience with automation and optimization. Looks for ways to create repeatable patterns that increase the efficiency of the team.

- Experience and ability to manage and optimize databases.

- Understanding of functional programming and how to apply functional concepts in any language. Quick to picking up a new language or adopting a more recent version of a language.

- Familiarity and ability to comfortably work with multiple platforms.

- Deep experience turning complex ideas into workable solutions.

- Previous experience collaborating on a cross-functional team.

- Deep understanding of development cycle.

- Ability to debug and avoid future problems by building more robust solutions.

- Ability to look at previous personal or team experience and use this to analyze mistakes/successes, draw conclusions, and design future solutions. Resulting solutions have few bugs and quick remediation times.

- Previous experience translating business needs into valuable solutions for customers.

- Previous experience building solutions with vulnerabilities in mind. Thinks in advance about possible system bottleneck, looks out for vulnerabilities and problems. Remediates these issues as part of design of a new solution.

- Experience acting as a good instructor for team members.

- Experience building solutions with the larger team in mind. Solutions have the goal of improving software engineering at the team level.

- Experience with teaching and mentoring team members at various levels.

- Previous involvement in the long-term vision of projects and software engineering practices.

- Demonstrated good soft skills.

- Expertise and ability to rapidly make decisions for the team.

- A mastery of cyber security principles such as authentication, authorization and encryption. Ability to recommend and leverage common security libraries applicable to their language stack and champion secure programming best practices. In depth experience with common attack vectors, such as SQL injection, Denial of Service (DoS), Cross-Site Scripting, etc. and methods to limit exposure. Coaches organization on the prevention and remediation of potential security vulnerabilities.

- In depth experience working with multiple CI/CD stacks. Guides product teams on the setup of CI/CD for new products and coaches organization on DevOps best practices. Leads the evaluation and selection/development of new CI/CD tools and processes.

- Turn complex ideas into manageable pieces of work to complete as part of a product team.

- Coach and mentor software developers.

- Provide technical guidance to leadership so that solutions are built with innovation and sustainability in mind.

- Learn the business drivers of a product and help drive the technical direction of a product to fulfill the desired vision.

- Recommend and implement best practices and innovative solutions to drive digital transformation in the organization. ""

NA

- Experience level: Experienced- Education: Bachelors
",Software Engineer IV,Posted 3 hours ago,Updated Never,2023-12-18 23:50:03
 Secret cleared Sr. Software Engineer , Nigel Frank International ,https://www.dice.com/company/10371697?companyname=NigelFrankInternational,https://cdn.filestackcontent.com/VhDXRr42SMev1rVF1Qin," Washington, DC, USA ",https://www.dice.com/job-detail/2e72f961-e75b-4b1e-a5d5-d978c17ea768,Full Time,$180000 - $185000 per annum,"Active Secret clearance is needed to be considered

We are seeking a highly skilled and motivated Full Stack Software Engineer to join our dynamic team. The ideal candidate will have a Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field, and a proven track record in Full Stack development. The successful candidate will play a crucial role in designing, implementing, and maintaining cutting-edge web applications within a secure and dynamic environment.

Key Responsibilities:

- Develop and maintain both front-end and back-end components of web applications.- Utilize a variety of technologies, including HTML, CSS, JavaScript, Node.js, PostgreSQL, and other databases.- Work with web development frameworks and libraries such as React, Angular, Express.js, Django, and Ruby on Rails.- Utilize version control systems (e.g., Git) and deployment tools for efficient development workflows.- Build high-performance web services and APIs, particularly within microservices architecture in a cloud-native environment.
",Secret cleared Sr. Software Engineer,Posted 4 hours ago, - Updated moments ago ,2023-12-18 23:50:03
 Software Engineer (WPF/C#/SQL) , Tandym Tech ,https://www.dice.com/company/EXECUSCH?companyname=TandymTech,https://cdn.filestackcontent.com/ovqyDpXDSwipufNDC7Ms," Montvale, NJ, USA ",https://www.dice.com/job-detail/4c158516-7b30-4661-b846-8de577bce649,Contract - W2,,"A New Jersey-based retail services company is currently seeking a new Software Engineer (WPF / C# / SQL) to join their growing Application Development team.ResponsibilitiesThe Software Engineer (WPF / C# / SQL) will:

- Act as a subject matter expert and key contributor to the successful delivery and ongoing evolution of digital products- Drive product improvements by partnering with business partners and key stakeholders in defining and improving the customer experience- Participate in full lifecycle development of software including analysis, design, coding, testing, implementation, deployment and support- Consistently write, translate, and code software programs and applications according to specifications- Take a leadership role with the development effort in building scalable, extensible, secure applications while employing best practices- Assist/mentor other developers with full stack enterprise application design and development strategies utilizing best practices- Design and develop n-tier WPF applications, windows services and console applications using C#, SQL Server/SQLite, Entity Framework and Prism- Perform unit testing and analyze application and database performance on new and existing programs for the purposes of correcting errors, isolating areas for improvement, resolving performance bottlenecks, and general debugging- Participate in code reviews insuring the team is consistently producing optimal code- Perform other duties, as needed
Qualifications:

- 3+ years of experience designing/developing desktop applications using WPF, C#, Entity Framework, Prism, and SQL integrations- Bachelor's Degree- Ability to complete all phases of SDLC including analysis, design, development, testing and support utilizing Agile methodologies- Strong understanding and demonstrated usage of Object-oriented Design concepts- Experience with Software Versioning and Release Management- Working knowledge of Git and Branching concepts- Experience with JIRA and Confluence- Solid analytical, problem solving and time management skills- Excellent communication skills- Strong attention to detail- Highly organized
Desired Skills:

- Bachelor's Degree in Computer Science, Engineering, Information Systems, and/or a related field
",Software Engineer (WPF/C#/SQL),Posted 8 hours ago, - Updated moments ago ,2023-12-18 23:50:03
 C/C++ Software Engineer II/III ," Softworld, Inc. ","https://www.dice.com/company/softwinc?companyname=Softworld,Inc.",https://cdn.filestackcontent.com/F043krHSkqERzc5ejp5X," Cockeysville, MD, USA ",https://www.dice.com/job-detail/3e9f4e72-2c63-412a-8302-be2428fb53fd,Full Time,,"C/C++ Software Engineer

Location: Hunt Valley, MD

Duration: permanent

Softworld client is seeking a C/C++ Software Engineer with a Top Secret clearance to join their team.

Overview: Software Engineers design, code, and maintain applications in various software languages. The candidate provides solutions to a variety of technical problems of moderate scope and complexity. The candidate will develop, enhance, and maintain software code as assigned and will contribute to the completion of specific programs and projects.  Duties:

- Solves problems which are varied, may be related to multiple issues, and may not be clear. If no precedent exists, complex problems may require research and analysis of alternatives involving many factors.- May independently determine and develop approach to solutions.- Designs, codes, and maintains applications in various software languages under little supervision.- Embedded programming (C/C++)- Graphical User Interface programming (C++).- Writing interface control documents, specifications and test procedures for your designs is expected.
Qualifications Education and Experience  Level 2

- BS degree in Computer Science or Computer Engineering, or related field with 2+ years of related experience.
Level 3

- BS degree in Computer Science or Computer Engineering, or related field with 5+ years of related experience.
Requirements:

- Skilled at Software Development using C++, Object Oriented Design, and using Design Patterns.- Familiarity with Database Design (SQL), Coding Standards, and the Software Development Lifecycle.- Ability to work independently, learn new tasks/handle multiple tasks, solve problems, meet deadlines, and show strong self-motivation and initiative.- Proficient with Visual Studio 2010 and later.
",C/C++ Software Engineer II/III,Posted 8 hours ago, - Updated moments ago ,2023-12-18 23:50:04
 Geospatial Software Engineer , Data Systems Analysts Inc. (DSA) ,https://www.dice.com/company/10119839?companyname=DataSystemsAnalystsInc.(DSA),https://cdn.filestackcontent.com/SBPuveiS0mkxm9ou0M2r," Aurora, CO, USA ",https://www.dice.com/job-detail/be3e3a34-bcdc-460d-9466-8ff51de19767,Full Time,BASED ON EXPERIENCE,"Data Systems Analysts, Inc. (DSA) is searching for a Geospatial Systems Engineer with a TS/SCI clearance with CI Polygraph to support the Army GEOINT Battalion in Aurora, CO. DSA is the prime on this position supporting Army G-2, Army GEOINT Battalion, NGA. The Systems Engineer will help drive customer service and digital modernization objectives for the intelligence analysis teams supporting Army G-2. These services and solutions will have a direct impact on the speed and scale of intelligence delivery to the warfighter. AGB is a military intelligence battalion specializing in the production and exploitation of geospatial intelligence (GEOINT). The unit produces and analyzes geospatial intelligence products for ground combat forces in close collaboration with its host agency and other members of the U.S. Intelligence Community.Required Qualifications

- TS/SCI Clearance with CI Polygraph- BS degree in Engineering or Computer Science- DoD 8570.01 IAT or IAM Level II certification- 10 years of experience with software system design, development, and integration- Experience designing, deploying, and managing cloud environments.- Strong understanding of systems architectures, system design, systems administration, and system networking- Experience in requirements analysis, design, and coding methodologies, DoD software policies; and DoD test and evaluation requirements- Familiarity with installation, configuration, and usage of leading GeoSpatial software products- Experience supporting security control assessments, including familiarity with NIST 800-53 and RMF.- Experience validating requirements and supporting test and evaluation activities.- Experience supporting migration of legacy on-premises databases to cloud hosted platforms.- Experience with Amazon Web Services (AWS)- Familiarity with ESRI Database tools and technologies- Knowledge of relational database development to support centralized data repositories.- Experience with Atlassian Suite of tools (JIRA, Confluence)
- AWS Professional or Associate level certifications- Prior experience within NGA, or the Army GEOINT Battalion- Experience with AC2SP or DCGS-A Cloud concepts and architectures- Proficient in ESRI Database tools applications.- Experience with SQL and NoSQL data stores- Familiarity with ESRI Portal functionality.
Key Responsibilities As a Geospatial Systems Engineer, you will support the transition of an on-premises GEOINT-based system of record to a cloud-based platform. You will assess the technical and security baseline of the system to develop or validate system architecture documentation, project schedules, and cybersecurity body of evidence documentation. You will collaborate with engineering project teams to identify and evaluate optimal cloud solutions, modify and improve the existing system, and lead implementation activities for the cloud transition. You will collaborate with GEOINT analysts and subject matter experts to validate system requirements and translate them into technical solutions. You will work closely with security control assessment teams to ensure effective security control implementation. Your efforts will directly support the integration of GEOINT databases and services with cloud-based platforms to enable spatial analysis, mapping, and visualization more efficiently, using best practices to ensure data integrity, interoperability, and accuracy.Many of DSA's positions require the ability to obtain a security clearance. In addition, applicants who accept a conditional offer of employment may be subject to government security investigation(s) and must meet eligibility requirements for access to classified information. DSA is proud to be an Affirmative Action/Equal Opportunity Employer. DSA is committed to treating all employees and applicants for employment with respect and dignity and maintaining a workplace that is free from unlawful discrimination. All applicants will be considered for employment without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender (including pregnancy, childbirth, breastfeeding, or other related medical conditions), gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, citizenship status, characteristic or membership in any other group protected by federal, state, or local laws. DSA requires background checks, where permitted, by law. DSA is an E-Verify Employer.

#LI-AH#DSA209

","SYSTEMS ENGINEER,CLOUD SYSTEMS ENGINEER,SYSTEM DESIGN,GEOSPATIAL,TS/SCI CLEARANCE,CI POLY,REQUIREMENTS ANALYSIS,SECURITY CONTROL,AWS,DATABASE TOOLS,CLOUD,GEOINT,ESRI,SQL,NOSQL,BUCKLEY,SPACE SYSTEMS ENGINEERING",Posted 8 hours ago, - Updated 3 hours ago ,2023-12-18 23:50:04
 Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Salina, NY, USA ",https://www.dice.com/job-detail/b66542bc-db56-4e1d-9bd8-b85392977cb6,Full Time,,"- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Unit testing,Embedded systems,Engineering design,Innovation,Network,Recruiting,Linux,Design,Software development,C++,Quality assurance,Integration testing,Software maintenance,System integration,RTOS,Brand,Science",Posted 3 hours ago,Updated Never,2023-12-18 23:50:04
