job_link,title,company,company_link,location,employment_details,date_posted,is_remote,description_list,employment_pay,job_board,date_updated,company_logo,employment_skills,easy_apply,scraped_at
https://www.glassdoor.com/job-listing/j?jl=1008910632797,Immigration Attorney - Remote OR In Person,Velie Law PLLC,,,,2023-10-05,True,"Velie Law Firm PLLC/OnlineVisas is an immigration law firm incubating a tech start-up headquartered in historic midtown Norman, Oklahoma. We are two companies with a growth mindset applying the cutting edge of technology and an international team to the process of applying for US visas to “Deliver Dreams” of our world-class clients. We are seeking a problem-solving-oriented individual to help us take our companies to the next level of national competitiveness in the immigration law and tech world.
Requirements:
- Licensed by any state bar in the US
- 5+ years experience in Business Immigration Law, in particular, PERM cases with working knowledge of other visas.
- No bar complaints
Job Duties:
- Conduct strategy sessions (30 minute consultations) with potential and existing clients regarding a wide array of visa types by using our software and legal strategy database to identify issues and answers.
- Negotiate and close deals with potential clients.
- Learn about our company and methods in order to accurately convey our brand promises and lead clients to retain us.
- Provide legal advice regarding all elements of PERM green cards, L-1’s, EB-1-3s, O-1s, EB-1-1’s, E-2’s, H-1B’s, and other visas.
Job Types: Full-time, Contract
Job Type: Full-time
Pay: From $60,000.00 per year
Benefits:
- Health insurance
- Paid time off
Schedule:
- 8 hour shift
Experience:
- Immigration law: 5 years (Preferred)
License/Certification:
- Bar (Required)
Work Location: Remote",,Glassdoor,,,,False, Feb_11_2024-10:10-PM
https://www.glassdoor.com/job-listing/j?jl=1009077229633,Controller,Confidential,,"San Antonio, TX",,2024-01-16,False,"Seeking a full time Controller who will plan and direct the accounting operations.
Duties/Responsibilities:
- Maintains a documented system of accounting policies and procedures; implements a system of controls over accounting transactions to minimize risk.
- Oversees the production of periodic financial reports; ensures that the reported results comply with generally accepted accounting principles or international financial reporting standards.
- Responsible for the audits of cage and other departments as required.
- Responsible for bank reconciliations and full responsibility for General Ledger and Accounting Systems.
- Fixed assessment management.
- Must be able to evaluate statistical reports and other business and gaming reports.
- Responsible for understanding revenue audit, cage, credit and count room issues.
- Ensures accurate tracking of information and timely filing related to all regulatory filings including gaming taxes, W-2G’s, Title 31/AML, Bank Secrecy Act, 1099’s and Monthly Sales Tax Return Filings.
- Review strengths and weaknesses of all accounting, cage and credit operations such as cash inventory levels, and general policies and procedures in order to most effectively implement changes to improve operations and most efficiently allocate resources.
- Review strengths and weaknesses of cage, credit and count room functions, in order to most effectively recommend changes to improve operations and most efficiently allocate resources as they relate to accounting.
- Manage the preparation of and reviews financial reports and reconciliations to include updating schedules/preparing and entering all journal entries for the month in preparation/review of financial reports and reconciliation.
- Recommends benchmarks that will be used to measure the company’s performance.
- Produces the annual budget and forecasts; reports significant budget differences to management.
- Provides financial analysis, with emphasis on capital investments, pricing decisions, and contract negotiations.
- Responsible for intra-company accounting between the parent and the subsidiaries.
- Works with external auditors and provides needed information for the annual audit.
- Ensures compliance with local, state, and federal government requirements.
- Performs other related duties as necessary or assigned.
Required Skills/Abilities:
- Excellent verbal and written communication skills.
- Excellent organizational skills and attention to detail.
- Excellent time management skills with a proven ability to meet deadlines.
- Strong analytical and problem-solving skills.
- Ability to act with integrity, professionalism, and confidentiality.
- Proficient with Microsoft Office Suite or related software.
- Proficient in accounting and tax preparation software.
Education and Experience:
- Bachelor’s degree in Accounting, or Finance or related field required.
- At least 5 years’ relevant accounting experience.
- CPA preferred.
Physical Requirements:
- Prolonged periods of sitting at a desk and working on a computer.
- Must be able to lift 15 pounds at times.
Job Type: Full-time
Pay: $100,000.00 - $115,000.00 per year
Benefits:
- Dental insurance
- Health insurance
- Paid time off
- Vision insurance
Schedule:
- 8 hour shift
- Monday to Friday
Experience:
- Accounting: 5 years (Required)
Ability to Relocate:
- San Antonio, TX: Relocate before starting work (Required)
Work Location: Remote",,Glassdoor,,,,False, Feb_11_2024-10:10-PM
https://www.glassdoor.com/job-listing/j?jl=1008730464101,Psychiatrist (Remote Telehealth),Talkdoc,,,,2023-06-29,True,"Talkdoc is hiring a 
psychiatrist
 to join our team. Psychiatrists will primarily be doing 1:1 psychotherapy and medication management with our members on a monthly basis, via virtual sessions from the comfort of their own home. We provide psychiatry to the Medicaid population, which is both overlooked and underserved.
Talkdoc is developing advanced technology that identifies mental illness early, and allows clinicians to treat mental illness with improved accuracy. We are a cross-functional team of psychiatrists, therapists, and software engineers.
We credential clinicians across multiple insurance panels in New York, which takes about three months. Start dates are typically three months from hire date.
Find out more here: https://www.talkdoc.com/clinicians
Compensation:
- Health insurance
- Malpractice insurance
- Learning budget of $1,000 a year in addition to salary.
Responsibilities
- 1:1 psychotherapy and medication management
- Monthly collaboration meetings with other providers
- Create comprehensive patient assessments
- Complete documentation in compliance with clinical and state requirements
- Aid in treatment planning
- Prescribe medications.
License or Certification
- Willingness to get a New York license (We will help with this process!)
Job Type: Contract
Pay: $200.00 - $225.00 per hour
Benefits:
- Flexible schedule
- Professional development assistance
Medical specialties:
- Psychiatry
Schedule:
- Choose your own hours
Supplemental pay types:
- Bonus opportunities
Experience:
- clinical practice: 5 years (Preferred)
License/Certification:
- medical license in New York (Preferred)
Work Location: Remote",,Glassdoor,,,,False, Feb_11_2024-10:10-PM
https://www.glassdoor.com/job-listing/j?jl=1009107269418,Board Certified Behavior Analyst (BCBA) - Tilly Partners,Tilly,https://www.glassdoor.com/Overview/W-EI_IE9336879.htm,"Chicago, IL",,2024-02-02,False,"Start and grow your own ABA practice with Tilly!
In traditional clinic environments, Board Certified Behavior Analysts (BCBAs) have consistently encountered significant challenges and constraints. These longstanding issues have not only hindered their professional growth but also contributed to alarming levels of burnout, while waitlists continue to build. 
At Tilly, we recognize the urgent need for change.
We're inviting passionate and dedicated ABA practitioners like you to join us in this pivotal movement. Start and grow your own ABA practice with us, where you can focus on delivering outstanding care to your clients while we seamlessly manage the operational complexities.
Choose when you work, who you work with, and how best to deliver care. We empower you to do your best work with a full suite of tools and services for your practice and a world-class support team.
What we will support you with:
- Company creation: If you don’t already own a practice, we’ll help you get started with creating a legal entity quickly and efficiently.
- Full software suite including Practice Management, Scheduling, Data collection, Electronic Health Records, Billing, Digital Onboarding, and Mobile Applications for your clients and your RBTs.
- Credentialing and licensing requirements: Navigating through the maze of credentialing and licensing requirements can be overwhelming. We'll handle it, ensuring you're always compliant and ready to operate.
- Billing: Say goodbye to billing headaches. Our expert team manages all billing aspects, ensuring timely and accurate reimbursements.
- Payroll facilitation: We take payroll off your plate. Our streamlined system ensures that your staff are paid accurately and on time, every time.
Your role:
- Create and manage your own company: Choose your hours, select your clients, and define your care delivery methods. We celebrate individuality and empower you to tailor your practice.
- Hiring your RBTs: Recruit and lead your team of RBTs. We trust your judgment in hiring professionals who share your dedication to quality care.
- Providing care to your patients: At the heart of it all is your role in providing exceptional care. Make a real difference in the lives of those affected by autism.
Use the apply button to schedule an introductory call with us!
Tilly 
- 
Empowering providers to deliver life-changing care on their terms
Job Type: Contract
Pay: Up to $200,000.00 per year
Benefits:
- Flexible schedule
Patient demographics:
- Children
Schedule:
- Choose your own hours
Travel requirement:
- No travel
Application Question(s):
- Are you located in Illinois? This role is only for BCBAs that are licensed in Illinois.
Location:
- Chicago, IL (Required)
Work Location: Remote",,Glassdoor,,,,False, Feb_11_2024-10:10-PM
https://www.glassdoor.com/job-listing/j?jl=1009069286567,Entry Level Remote Attorney Position (Connecticut),Turnbull Law Group,,,,2024-01-11,True,"Remote Associate Attorney (Connecticut) Turnbull Law Group, LLC
Turnbull Law Group, LLC (hereinafter the “Firm”), is hiring an Associate Attorney who is licensed in Connecticut to work remotely for the Firm’s consumer debt negotiation practice. This is an excellent opportunity for an attorney who wants to practice in a more unconventional manner. The Associate Attorney will report directly to our Supervising Attorneys and Firm partners, with offices in Phoenix and Chicago, and will work with the other Associate Attorneys.
Requirements:
- Juris Doctorate in good standing with the Connecticut state bar
- Proficiency using video conferencing software
- Proficiency in customer relations
Duties include:
- Review new client files as assigned, and conduct initial client consultation and onboarding calls via video conference
- Conduct client file reviews and telephonic meetings with retained clients on a quarterly and annual basis, and conduct exit interviews with clients who leave the program
- Strict adherence to timeliness requirements concerning assigned tasks, file review and client consultations
- Availability outside of standard business hours may be required to accommodate client schedules
- Continual monitoring of electronic dashboard for new assignments including client intake, file reviews, and settlement reviews, and completing them promptly per the time requirements
- Adhere to the Firm’s client intake script and talking points concerning frequently asked questions
- Maintain detailed notes in case management software
- Manage time effectively
- Issue spotting, such as understanding when a client's debts do not comply with Firm underwriting policy, or when a client’s debts may be impacted by the statute of limitations or right of offset issues
- Participate in regular meetings with other attorneys to discuss recent trends, specific creditor issues, and any other relevant topics
- Assist with client escalations and client requests as needed in a timely manner
- Maintain knowledge of, and comply with, legal rules of professional conduct
Our team is systems-oriented and fast paced. The culture is one of high flexibility but also high accountability. You must be able to follow our systems and processes to be successful. We offer benefits including health, vision and dental insurance, 401k with employer match, paid time off, and paid holidays. This is a salaried position. Compensation will be commensurate with experience.
Job Type: Full-time
Pay: $65,000.00 - $75,000.00 per year
Benefits:
- 401(k)
- 401(k) matching
- Dental insurance
- Health insurance
- Paid time off
- Vision insurance
Schedule:
- Monday to Friday
License/Certification:
- Connecticut bar license (Required)
Work Location: Remote",,Glassdoor,,,,False, Feb_11_2024-10:10-PM
https://www.glassdoor.com/job-listing/j?jl=1009078496122,Nurse Practitioner - Telemedicine,Fast Lab Tech,https://www.glassdoor.com/Overview/W-EI_IE6784161.htm,"Honolulu, HI",,2024-01-17,False,"Who we are: Fast Lab Technologies 
is a medical diagnostic laboratory that offers a full range of bioanalytical testing services. We provide a wide variety of tests, as well as fast, efficient COVID-19 testing for travel, symptoms and precautionary measures. We pride ourselves in delivering exceptional customer service, paired with quick, reliable testing so that every experience with us is as comfortable, and efficient as possible. Currently, we are building our own lab in Brooklyn, NY and growing rapidly.
We are looking for 
Full-time Nurse Practitioners 
who have a compacted license or licensed in multiple states (at least 10). 1099 contract for 60 days. Hours of operation are around the clock (24/7) Monday-Sunday 7am-7am EST. As a telemedicine nurse practitioner, your job is to provide remote treatment for patients through our online consultation and telehealth services. Your primary role in this job is to provide advice and consultation, particularly as it relates to treatment options, lab testing, and whether or not a patient needs to visit a clinic or hospital. 
Part-Time coverage needed currently for 2nd & 3rd shifts (Monday-Friday and/or weekends).
Responsibilities:
- Conducting virtual consultations with patients to assess medical histories, symptoms, and provide medical advice.
- Ordering diagnostic tests, such as blood tests or imaging, and interpreting the results.
- Prescribe medications or recommend treatments based on patient evaluations.
- Provide follow-up care and monitor patient progress over time.
- Referring patients to specialists or other healthcare providers when necessary.
- Documenting patient medical records accurately and securely in the electronic health record (EHR) system.
- Collaborating with other healthcare professionals, including nurses and specialists, to provide comprehensive care.
- Staying current on the latest telemedicine technologies, medical practices, and guidelines.
- Adhering to ethical and legal guidelines while maintaining patient confidentiality.
Minimum Qualifications:
- Must have Active and unrestricted Compacted license and/or licenses for multiple states.
- Must have active Malpractice Insurance and be able to provide proof of coverage during the offer stage.
- Must have a Masters Degree in Nursing or Doctorate in Nursing-Required
- Must have Active Nurse Practitioner certification through a national board-Required
- At least two years working in Telemedicine/Telehealth-Required
- At least five years as a nurse practitioner-Required
- Training or certification for a telemedicine program is a plus! This is to ensure familiarity with the technology and protocols involved in delivering care remotely.
- Must have strong communication and interpersonal skills: Must be able to communicate effectively with patients and other healthcare providers, even when not in the same physical location.
- Must be comfortable using technology to communicate with patients and other healthcare providers, and must have access to a reliable internet connection and appropriate devices (such as a computer or mobile device) to deliver care remotely.
- Must be experienced in using telemedicine software/applications.
- Must be compliant with privacy and security regulations: must be familiar with and comply with relevant privacy and security regulations, such as HIPAA, to protect patient information and ensure the security of telemedicine platforms and software.
Preferred Qualifications:
- Five plus years experience in Telemedicine.
- Experience with various Telemedicine software.
Disclaimers
: This job description is not all inclusive of duties, other responsibilities can be added and modified based on business needs at any time, with or without notice.
EEO Statement
The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.
ADA Statement
The Americans with Disabilities Act (ADA) and the Americans with Disabilities Amendments Act (ADAAA) are federal laws that require employers with 15 or more employees to not discriminate against applicants and individuals with disabilities and, when needed, to provide reasonable accommodations to applicants and employees who are qualified for a job, with or without reasonable accommodations, so that they may perform the essential job duties of the position.
It is the policy of Fast Lab Tech to comply with all federal and state laws concerning the employment of individuals with disabilities and to act in accordance with regulations and guidance issued by the Equal Employment Opportunity Commission (EEOC). Furthermore, it is the company policy not to discriminate against qualified individuals with disabilities in regard to application procedures, hiring, advancement, discharge, compensation, training or other terms, conditions and privileges of employment.
Who we are: Fast Lab 
is a medical diagnostic laboratory that offers a full range of bioanalytical testing services. We provide a wide variety of tests, as well as fast, efficient COVID-19 testing for travel, symptoms and precautionary measures. We pride ourselves in delivering exceptional customer service, paired with quick, reliable testing so that every experience with us is as comfortable, and efficient as possible. Currently, we are building our own lab in Brooklyn, NY along with providing Telemedicine services throughout the country.
Job Summary
Responsibilities
- Conducting virtual consultations with patients to assess medical histories, symptoms, and provide medical advice.
- Ordering diagnostic tests, such as blood tests or imaging, and interpreting the results.
- Prescribe medications or recommend treatments based on patient evaluations.
- Provide follow-up care and monitor patient progress over time.
- Referring patients to specialists or other healthcare providers when necessary.
- Documenting patient medical records accurately and securely in the electronic health record (EHR) system.
- Collaborating with other healthcare professionals, including nurses and specialists, to provide comprehensive care.
- Staying current on the latest telemedicine technologies, medical practices, and guidelines.
- Adhering to ethical and legal guidelines while maintaining patient confidentiality.
Disclaimers
: This job description is not all inclusive of duties, other responsibilities can be added and modified based on business needs at any time, with or without notice.
EEO Statement
The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.
ADA Statement
The Americans with Disabilities Act (ADA) and the Americans with Disabilities Amendments Act (ADAAA) are federal laws that require employers with 15 or more employees to not discriminate against applicants and individuals with disabilities and, when needed, to provide reasonable accommodations to applicants and employees who are qualified for a job, with or without reasonable accommodations, so that they may perform the essential job duties of the position.
It is the policy of Fast Lab Tech to comply with all federal and state laws concerning the employment of individuals with disabilities and to act in accordance with regulations and guidance issued by the Equal Employment Opportunity Commission (EEOC). Furthermore, it is the company policy not to discriminate against qualified individuals with disabilities in regard to application procedures, hiring, advancement, discharge, compensation, training or other terms, conditions and privileges of employment.
*
We offer Competitive Salary, Flexible Hours, and Remote Work.
Job Types: Full-time, Contract
Pay: From $40.00 per hour
Benefits:
- Flexible schedule
- Paid time off
Medical specialties:
- Critical & Intensive Care
- Emergency Medicine
- Home Health
- Hospital Medicine
- Internal Medicine
- Pain Medicine
- Pediatrics
- Urgent Care
Standard shift:
- Evening shift
- Night shift
- Overnight shift
Supplemental schedule:
- Holidays
- On call
- Overtime
Weekly schedule:
- Every weekend
- Monday to Friday
Work setting:
- Remote
- Telehealth
Application Question(s):
- How many years of Telehealth or Telemedicine do you have?
- What is your minimum hourly rate requirement?
- Please provide your active license(s) number(s) along with the state(s)
- Are you available to work any of the following shifts? Note: All Shifts are Eastern Standard Time and Part-Time (20-30 hours per week)
2nd shift (2pm-8pm EST) 
3rd shift (8pm-2am EST) 
Weekend shift (2nd or 3rd)
- All candidates offered this role must have individual Malpractice Insurance coverage and be able to provide proof prior to hire.  Is this a requirement you are able to successfully meet if selected?
Experience:
- Nurse Practitioner: 5 years (Required)
License/Certification:
- Compacted license and/or licenses for multiple states (Required)
Work Location: Remote",,Glassdoor,,,,False, Feb_11_2024-10:10-PM
https://www.glassdoor.com/job-listing/j?jl=1009037821624,Tax Manager,"Baldwin Accounting CPA, PA",,United States,,2023-12-19,False,"Excellent opportunity for the self driven individual!
Baldwin Accounting CPA, P.A. is a rapidly growing CPA firm looking for experienced CPA’s, Specializing in Tax, with an emphasis on International Tax, to join our team on permanent and seasonal basis.
The right candidate for this position will possess experience in all types of tax preparation. Our most successful employees recognize and understand the problems that our clients face but at the same time are able to work quickly to solve these.
Baldwin Accounting offers a rewarding environment and company ownership to those self driven individuals that would like to use their skills to keep the company growing at a high pace.
Our team members are problem solvers for our clients. We are looking for individuals that will assist us in our growth by solving our clients’ accounting needs. Our team members find the quickest most accurate solutions. Our growth is through our reputation and we need quality employees to deliver this high level of service. If you are the type of person that wants to take part of a growing organization that puts the client’s needs first, then this is the right organization for you.
We offer excellent benefits including: 
- Health Insurance for employees is fully covered by the company except a small deductible
- Simple Retirement Plan- with company match
- Flex time
- Paid CPE
- Company ownership to those that qualify
RESPONSIBILITIES AND SPECIFIC DUTIES
- Review and manage staff deliverables including tax returns, extensions, tax planning calculations, and write-up work for all entity types (C-Corp, S-Corp, Partnership, Fiduciary, Non Profit, gift, multi state and state).
- Review Compiled financial statements for Corporations, Not for Profit entities, Partnerships, and Individuals, including workpapers, accounting and adjusting entries, bank reconciliations, and client books and records.
- Prepare and review complex tax planning projections for individual and corporate estimated tax liability.
- Manage and monitor client deliverables and due dates.
- Prepare complex U.S. and multi-state income tax returns for business entities, including consolidated and nonconsolidated C-corporations, S-Corporations, Partnerships, Fiduciary, and Non-Profit Organizations.
- Prepare complex U.S. and state individual income, gift tax, and estate tax returns.
- Conduct complex tax research and prepare memorandum outlining findings and conclusions.
- Respond to IRS and state agency audits, inquires, and tax notices. Communicate with IRS and clients in connection with audits, inquires, and tax notices.
- Delegate projects to staff that can handle them most efficiently and provide accounting and tax assistance to staff as needed.
- Communicate directly with existing clients, colleagues, management, and IRS representatives regarding various tax matters.
- Assist with business development efforts, including but not limited to, meeting with prospective clients, preparing fee quotes and proposals, and evaluating clients’ needs.
- Lead department in knowledge of software, processes, and workflows.
- Assist with employee training for new hires and ongoing employee training.
- Engage in consulting and special projects as requested by Management and Clients.
- Takes direction and reports to the Partners of the tax department.
KNOWLEDGE AND SKILL REQUIREMENTS:
- CPA Certification required. • Good oral and written communication • Good time management and organizational skills • Proficient in Microsoft Office, Ultratax, and Adobe software.
- Proficient in QuickBooks or equivalent accounting software desired. At minimum, must have sound knowledge of basic functionality of QuickBooks or equivalent accounting software.
EDUCATION AND WORK EXPERIENCE:
- CPA certification required.
- Bachelor’s degree in accounting or other major with tax and accounting (through intermediate) course work completed.
- Minimum of seven years of experience preparing all types of tax returns with a public CPA firm or private company.
- Minimum of five years reviewing all types of tax returns and compiled financial statements with a public CPA firm or private company.
Job Type: Full-time
Pay: $110,000.00 - $180,000.00 per year
Benefits:
- Dental insurance
- Flexible schedule
- Health insurance
- Life insurance
- Paid time off
- Vision insurance
Schedule:
- Monday to Friday
Experience:
- Tax experience: 4 years (Preferred)
License/Certification:
- CPA (Preferred)
Work Location: Remote",,Glassdoor,,,,False, Feb_11_2024-10:10-PM
https://www.glassdoor.com/job-listing/j?jl=1009076759023,Commercial Real Estate Sales (Real Estate License Required),"CR Properties Group, LLC",,"Maplewood, Westchester, NY",,2024-01-16,False,"Hiring Immediately!
Commercial Real Estate Sales Person
Job Pay commensurate to Sales / Commission
Mentor with CR Properties Group, LLC Hudson Valley Commercial Real Estate Firm
Licensed Agents can maximize your earnings. Whether you are a Residential or Part Time Agent, we can mentor and educate you to convert over to Commercial Sales with higher earnings potential. Take this step to advance your career!
Based in the Hudson Valley Region of New York State, CR Properties Group, LLC is a comprehensive Commercial Real Estate Brokerage Firm specializing in premiere properties for sale or lease since 1983. Licensed in New York and Connecticut, we specialize in the sale and lease of Commercial, Garden Apartment Complexes, Industrial, Investments, Land Sales, Retail, and in the negotiation and facilitation for sales and rentals of business properties.
Current openings available in Northern Westchester County.
Candidate will be working remotely.
Position and Job Description:
We are looking for someone who is driven, self-motivated, and has a passion for sales.
Daily activities will include local; regional, and national market research, customer sourcing, client and customer interaction, property showings, valuations, conducting listing presentations, negotiations, phone calls, research of property information available in the public record as well as through our private databases and seeing transactions through to closing,.
Under direct supervision, the Licensed Real Estate Salesperson is responsible for assisting with the administration of transactions from inception to close.
Base Salary with Commission Incentives.
Qualifications:
· Licensed New York State Real Estate Broker / Salesperson
· Documented Sales Performance History
· Familiarity with Westchester County and/or Orange County
· Business Majors preferred (Economics, Management, Accounting) Entrepreneurial drive
· Experience with Microsoft Office Suite and CRM Software
· Confident Disposition
· Well Organized
· Can handle day to day activities that often vary in tasks and demands
· Knowledge of finance, accounting, construction, and real estate principles
Job Type: Full-time
Pay: Up to $100,000.00 per year
Benefits:
- On-the-job training
Experience level:
- 2 years
Schedule:
- Monday to Friday
- Weekends as needed
Experience:
- Commercial Real Estate: 2 years (Required)
License/Certification:
- NYS Real Estate License (Required)
Work Location: Remote",,Glassdoor,,,,False, Feb_11_2024-10:10-PM
https://www.glassdoor.com/job-listing/j?jl=1008946929868,Software Developer - AI Trainer (Contract),DataAnnotation,https://www.glassdoor.com/Overview/W-EI_IE8605843.htm,,,2023-10-26,True,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.
We are looking for a proficient 
programmer
 to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
Benefits:
- This is a full-time or part-time REMOTE position
- You’ll be able to choose which projects you want to work on
- You can work on your own schedule
- Projects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work
Responsibilities:
- Come up with diverse problems and solutions for a coding chatbot
- Write high-quality answers and code snippets
- Evaluate code quality produced by AI models for correctness and performance
Qualifications:
- Fluency in English (native or bilingual)
- Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)
- Excellent writing and grammar skills
- A bachelor's degree (completed or in progress)
- Previous experience as a Software Developer, Coder, Software Engineer, or Programmer
Note: Data Annotation payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD. If you are applying from any country outside of the US, Canada, the UK, Ireland, Australia, or New Zealand and sign up, please note that you will NOT receive a link as we are NOT taking applicants outside of those countries at this time. If you are applying from within those countries, it is possible to experience a 2 week delay, as we are currently receiving a significant number of applications, and work and pay can fluctuate based on project availability and the skillsets found in the assessment.
Job Type: Contract
Pay: From $40.00 per hour
Expected hours: 1 – 40 per week
Schedule:
- Choose your own hours
Work Location: Remote",,Glassdoor,,,,False, Feb_11_2024-10:10-PM
https://www.glassdoor.com/job-listing/j?jl=1009081166389,Product UI Designer,AmTote International Inc.,https://www.glassdoor.com/Overview/W-EI_IE198245.htm,,,2024-01-18,True,"Ready to take a different path? Passionate about Technology? Love horse racing? Eager to work in a rapidly growing industry? Fascinated by the world of gambling and casinos? If you answered YES to any of these questions, 1/ST TECHNOLOGY could be the right fit for you!
1/ST TECHNOLOGY is a global group of Technology, service, and wagering companies that provides B2B and B2C wagering and betting infrastructure for the horse racing and casino industries. Our companies and products include AmTote, Xpressbet, 1/ST BET, and PariMAX, and we are always eager to add enthusiastic and knowledgeable members to our growing team. Whether you are a railbird, gamer, or you are just passionate about Technology, and we’d love to find out if there’s a spot where you can thrive with 1/ST Technology. At 1/ST Technology, innovation drives us to create dynamic digital experiences in the horse racing and gaming industry.
The Product UI Designer position crafts the user interface (UI) of digital products, in a creative and professional manner, to ensure an exceptional user experience. This role combines artistic design with user-centered principles in creating visually appealing, intuitive and functional interfaces. The Product UI Designer collaborates with cross-functional teams, including Product Managers, Developers and UX Designers, to transform concepts into interactive, aesthetically pleasing and user-friendly designs.
RESPONSBILITIES/DUTIES:
- UI Design: Creates visually engaging and user-friendly interface designs for digital products, considering layout, typography, color schemes, and iconography.
- User-Centered Design: Ensures UI designs align with user expectations, needs, and behaviors, and conduct user research to inform design decisions.
- Design Systems: Develops and maintains a design system that includes guidelines, patterns, and assets for consistent and efficient design implementation.
- Prototyping: Builds interactive prototypes to illustrate design concepts and validate user flows, making necessary adjustments based on user feedback.
- User Testing: Performs moderated and unmoderated user testing of designs, user flows, and prototypes.
- Collaboration: Works closely with Product Managers, UX Designers, and Developers to understand project goals, iterates on designs, and ensures seamless integration with the product’s functionality.
- Responsive Design: Adapts UI designs for various screen sizes and devices to ensure a consistent and user-friendly experience across platforms.
- Visual Consistency: Maintains a high level of visual consistency in UI elements, ensuring that the product maintains a cohesive and polished look.
- Accessibility: Ensures UI designs meet accessibility standards and are inclusive to all users, including those with disabilities.
- Trend Awareness: Stays updated on the latest design trends, tools, and technologies, and integrates them into design work when appropriate.
- Quality Assurance: Collaborates with Quality Assurance teams to identify and address design-related issues during the testing phase.
EXPERIENCE & EDUCATION
- Bachelor’s degree in Graphic Design, UI/UX Design, or a related field (or equivalent work experience).
- 3-5 years of experience in Sports Betting.
- Minimum of five (5) years of experience in user experience and/or product design.
- Strong understanding of UI design principles, user-centered design, and design thinking.
- Proficiency in design software; Adobe Creative Suite, Axure, and Figma.
- Demonstrates performance and behavior as a self-starter and self-motivator in always working to keep all projects moving forward.
- Ability to communicate in an open, clear and consistent manner.
- Demonstrated ability to manage multiple projects and priorities in a fast paced environment.
- Preferred Experience and/or Education: Experience working with fixed odds and Pari-Mutuel wagering industry; Knowledge of technology; Knowledge of horse racing; Experience with online gaming.
ADDITIONAL INFORMATION:
- This position does not have supervisory responsibilities/duties.
- This position is empowered to take initiative with applicable duties/projects and receives direct instruction from leadership.
- Compensation is commensurate with experience and includes a competitive base salary and benefits.
- Requires travel up to 20% travel including travel outside of local area and can include overnight stay. International travel possible.
- Position can be based at the Washington, PA office location. Position classification is “Remote Work.”
We are 1/ST Technology
 - A fully integrated racing and gaming technology company providing solutions that drive pari-mutuel and fixed-odds wagering world-wide. A leading technology and services provider to the North American pari-mutuel wagering market, with services that include the horse racing industry’s most comprehensive and user-friendly wagering website/platform allowing customers to wager from a computer, phone, or mobile device. Ongoing commitment to the growth and success of the global racing industry through B2C and B2B product innovation, extensive professional services offerings, the broadest integration of hosts for commingled pari-mutuel, and fixed odds and the continued evolution of the preeminent totalizator systems in the world.
1/ST Technology is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.
Job Type: Full-time
Benefits:
- 401(k)
- 401(k) matching
- Dental insurance
- Employee discount
- Flexible spending account
- Health insurance
- Life insurance
- Paid time off
- Retirement plan
- Vision insurance
Experience level:
- 5 years
Schedule:
- 8 hour shift
Work Location: Remote",,Glassdoor,,,,False, Feb_11_2024-10:10-PM
