job_link,title,company,company_link,location,employment_details,date_posted,is_remote,description_list,employment_pay,job_board,date_updated,company_logo,employment_skills,easy_apply,scraped_at
https://www.indeed.com/viewjob?jk=27b9f9f047c16c6b,Driver,Carepool,,"Madison, WI, USA","parttime, fulltime",2024-02-11,False,"Carepool is transportation software built alongside the state of Wisconsin's disability and aging programs. We're making transportation accessible for everyone!
Use your own vehicle and set your own hours. It's similar to Uber, but with more assistance and care to the service that we call Rideshare+.
Earn substantial project-based pay while driving people with disabilities to work, activity centers, and helping them integrate into everyday society.
Who are we looking for?
- Who are willing to use own vehicle to earn
- Who can drive a vehicle skillfully and safely
- A person who can deal effectively with disabled individuals and others who needs special assistance
- Has techniques for dealing with different personalities
- Can understand and follow oral and written directions
- Who can work full time or part time
- Has 100% clean driving record (minus a minor ticket or two, every 2-5 years) is required
- Must be at least 21 yrs. old and have over 5 years of driving experience
- Has healthcare specific experience and 1-year Professional Driving is preferred.
Job Types: Part-time, Full-time
Pay: $28.00 - $48.00 per hour
Benefits:
- Flexible schedule
Schedule:
- Day shift
- Evening shift
- Monday to Friday
- Weekends as needed
Work Location: On the road",,Indeed,,,,False, Feb_11_2024-10:11-PM
https://www.indeed.com/viewjob?jk=373d835fdcd76e19,IT Technician,RYZE Claim Solutions,,"Tampa, FL, USA",fulltime,2024-02-11,False,"JOB DESCRIPTION
:
 Under general supervision, provide technical software, hardware and network problem resolution to all Client computer users by performing question/problem diagnosis and guiding users through step-by step solutions, clearly communicate technical solutions in a user-friendly, professional manner; provide one-on-one end-user training as needed; assist System Administrator; troubleshoot basic end user issues; involve team and if necessary pass more complex end-user problems on to System Administrator; assist team in conducting hardware and software inventory reporting; and perform related work as required.
 SCOPE
:
 The Help Desk Technician fields all Level One / Two Help Desk tickets / requests from internal ticketing system keeping a clear and concise record of the request and the resolution process; resolves all Level One end-user problems remotely; passes all Level Three requests on to System Administrator
 KEY DUTIES AND RESPONSIBILITIES
:
-  In an internal Help Desk company environment identifies, diagnoses, and resolves Level One / Two problems for users of software and hardware, assist System Administrator with network and internet issues and new computer technology in an internal company Help Desk environment; communicates solutions to end-users.
-  Provides one-on-one end-user problem resolution remotely (phone, meeting, chat) approved by the System Administrator for client related issues.
-  Diagnoses and resolves end-user PC hardware, e-mail, Internet, software and local-area network access issues.
-  Performs minor desktop hardware repair for PC computer equipment and peripherals that are not covered by third-party vendor maintenance agreements.
-  Helps install software and applications that are required per IT protocol.
-  Must be instrumental and diligent in creating SOP’s and documenting and or creating materials for end-user frequently asked questions (FAQs).
-  Continue with training as instructed per IT protocol.",,Indeed,,,,False, Feb_11_2024-10:11-PM
https://www.indeed.com/viewjob?jk=48ea9992c668c6d0,Solar Consultant,Solar Pros ( IAD Freedom Forever),,"CT, USA",contract,2023-11-19,False,"Are you caught in the monotony of a job that has you questioning if there's anything better out there? Do you feel trapped in a cycle, yearning for an opportunity to make a real impact on families? Are you tired of feeling undervalued and underpaid?
It's time for a change, and we invite you to join the revolution! We are not just another company; we are single-handedly revolutionizing the industry. Our mission is clear – we're bringing down price points for the families we serve while ensuring those on the front lines are generously compensated for their efforts.
Say goodbye to the ordinary and embrace a career where your contributions are recognized, your potential is valued, and your financial rewards match your dedication. This is more than just a job; it's a chance to be part of something transformative. Come, be a revolutionary with us, and let's reshape the future together. Your next great opportunity awaits!
Responsibilities:
- Showcase your sales prowess through compelling presentations to potential customers, advocating for the benefits of solar energy solutions.
- Harness the power of Salesforce or a similar software to efficiently track leads, manage customer data, and generate insightful reports.
- Embark on door-to-door sales adventures, identifying and converting prospects into satisfied customers.
- Deliver exceptional customer service at every stage of the sales process, addressing inquiries and resolving concerns.
- Flex your negotiation skills to secure sales by determining optimal pricing and contract terms.
Experience:
- Leverage your proven sales experience, preferably in solar energy or related industries.
- Navigate CRM software like Salesforce with ease, showcasing your lead management and reporting capabilities.
- Bilingual or multilingual proficiency is a bonus, facilitating seamless communication with a diverse customer base.
- If you've conquered door-to-door sales in the past, your expertise is highly desirable.
- Showcase strong customer service skills, building rapport and trust with potential customers.
As a Specialist in our team, you'll enjoy:
- Lucrative commission-only structure
- Comprehensive training programs to enhance your sales skills and product knowledge
- Exciting advancement opportunities for top performers
- Appointments available for experienced closers
- Ambitious individuals can look forward to significant career growth
Job Type: Contract
Pay: $10,000.00 - $50,000.00 per month
Benefits:
- Flexible schedule
- Opportunities for advancement
- Referral program
Compensation package:
- 1099 contract
- Bonus opportunities
- Commission pay
- Uncapped commission
- Yearly bonus
Experience level:
- No experience needed
Schedule:
- Choose your own hours
Work Location: In person",,Indeed,,,,False, Feb_11_2024-10:11-PM
https://www.indeed.com/viewjob?jk=5f7df646f6d083cf,Helpdesk Technician,The Coquille Indian Tribe,,"Coos Bay, OR, USA",fulltime,2024-02-11,False,"As a potlatch tribe, we honor our ancient tradition of sharing our blessings. The values we cherish make the Coquille Tribe the best employer on Oregon’s South Coast.
FLEXIBLE, COMPASSIONATE HEALTH PLANS -- 
Many options. Health, dental and vision insurance as low as $69 per month individual, $295 family.
GENEROUS 401(k) -- 
We offer a 5% match plus an additional 3% employer basic contribution. (Eligible after one year.)
ABUNDANT HOLIDAYS -- 
14 paid holidays per year.
PLENTIFUL PTO -- 
18 vacation days per year to start.
FAMILY-FRIENDLY WORKPLACE -- 
Flexible hours in many jobs. Your baby is welcome in most workspaces.
FREE PRESCHOOL – 
Depending on Head Start eligibility criteria.
MEAL DISCOUNTS –
 Half-price at The Mill during your work hours.
INCLUSIVE SPIRIT -- 
When you work for our Tribe, you’re part of our community!
This position is a covered position as defined in the Coquille Indian Tribe Chapter 185 Child Protection Ordinance.
Candidate must pass a pre-employment drug screen and Criminal and Character Background Check.
SUMMARY OF MAJOR FUNCTIONS
Under the direct supervision of the Help Desk Supervisor, provides support and assistance for computer systems (hardware, software, and peripherals) development, use, upgrading, and maintenance for Tribal government and other entities. This position is focused on end-user support, routine maintenance, and infrastructure support.
ESSENTIAL JOB FUNCTIONS
1. Acts as the initial/primary point of contact for all technology related device issues and concerns from end users. Provides technical assistance to end users with software and hardware issues. Escalates IT tickets to appropriate IT staff when applicable.
2. Installs, configures, tests, maintains, monitors, and troubleshoots end-user computers, tablets, and related hardware and software. Monitors for changes and updates in various systems.
3. Maintains and creates IT documentation, software installation procedures, resolutions, and end-user instructions.
4. Reviews, addresses, and escalates IT help desk support issues through a variety of sources: ticketing software, phone calls, emails, walk-ins, and MS Teams. Maintains detailed notes in help desk software with all daily tasks and tickets completed. Thoroughly document all resolutions and work performed.
5. Provides administrative support for Microsoft 365, MS Office, MS Teams, 8x8 VOIP, Antivirus, and others.
6. Provides end-user onboarding and offboarding support and setup, including user accounts, licensing, issuing equipment, computer prep, applications prep, and end-user training. Assists with workstation moves, changes, and setups.
7. Utilizes remote assistance software to aid in the resolution of help desk issues.
8. Provides security of end-user laptops, desktops, and tablets by maintaining the latest software versions, endpoint scanning, and mitigating issues.
9. Supports the roll-out of new applications utilizing deployment tools and best practices.
10. Audio/Video equipment set up for meetings, conferences, and events. Records General Council, Tribal Council, and various other meetings and events.
11. Evaluate documented resolutions and analyze trends for ways to prevent future problems.
12. Provide software and hardware recommendations for purchasing.
13. Assists the IT Team with other projects as assigned.
14. Other duties as assigned.
The above statements reflect the general duties and responsibilities necessary to describe and principal functions of the job as identified and shall not be considered as a detailed description of the work requirements that may be inherent in the job.
PHYSICAL DEMANDS
Requires the ability to communicate orally, repetitive movement of the wrists, hands and/or fingers, standing, walking, sitting for extended periods of time, raising or lowering objects, stooping, kneeling, crouching, or crawling, and occasionally requires lifting up to 50 pounds. Requires occasional climbing or balancing. Work is generally performed in an office setting and occasionally outdoors. Occasional evening work will be required. Work involves occasional exposure to hazardous materials, excessive noise, infectious disease, dust, fumes, and allergens. Work may take place near moving equipment or machinery. Will often be required to travel by automobile, commercial or private carrier. Local travel is frequently required, statewide and national travel is occasionally required. The individual must perform the essential duties and responsibilities with or without reasonable accommodation efficiently and accurately without causing a significant safety threat to self or others.
REQUIRED KNOWLEDGE, SKILLS, AND ABILITIES
Individuals must possess the following knowledge, skills and abilities or be able to explain and demonstrate that they can perform the essential functions of the job, with or without reasonable accommodation, using some other combination of skills and abilities.
1. Excellent oral and written communication skills with strengths in team building, and cooperative problem solving. Ability to consistently convey a pleasant and helpful attitude by using excellent interpersonal and communication skills to control sometimes stressful and emotional situations.
2. Ability to foster an inclusive workplace where diversity and individual differences are valued and leveraged to achieve the vision and mission of the Coquille Indian Tribe.
3. Ability to make decisions independently in accordance with established policy and procedures.
4. Ability to exercise excellent organization, time management, analytical and problem-solving skills.
5. Must have acute attention to detail and demonstrate effectiveness in managing multiple work assignments simultaneously, often under strict deadlines. Works independently, shows initiative and takes ownership of all projects and assignments to achieve positive results.
6. Ability to read and understand technical documents and manuals, as well as the ability to write such documents for use by others.
7. Monitors current trends in information technology including systems software and hardware technologies.
8. Ability to analyze, diagnose and resolve customer problems relating to hardware, software and applications.
9. Knowledge of various hardware platforms and desktop software solutions and client/server applications.
10. Ability to troubleshoot and perform routine maintenance on computer systems as well as configure desktop computers and related peripherals.
11. Ability to work cooperatively with other departments to accomplish assigned tasks; ability to develop good working relationships with other departments in the organization.
QUALIFICATIONS
1. High School Diploma or GED.
2. Three (3) years of professional experience working in an IT environment.
3. Expertise in Microsoft 365, Microsoft Windows 10 & 11, and Computer hardware troubleshooting.
4. Superior customer service and motivation skills are necessary. Must be self-driven, results-oriented with a positive outlook and clear focus and be accustomed to making independent decisions/judgments about work priorities.
5. Must be able to demonstrate knowledge of troubleshooting PC, software, and peripheral equipment problems to determine a course of action.
6. Current and valid Oregon driver’s license in good standing is required with no insurability restrictions from the Tribe’s insurance carrier.
Job Type: Full-time
Pay: $21.69 - $30.37 per hour
Benefits:
- 401(k)
- 401(k) matching
- Dental insurance
- Employee assistance program
- Employee discount
- Flexible spending account
- Health insurance
- Life insurance
- Paid time off
- Retirement plan
- Tuition reimbursement
- Vision insurance
Schedule:
- 8 hour shift
- Day shift
- Monday to Friday
Education:
- High school or equivalent (Preferred)
Experience:
- professional IT: 3 years (Required)
License/Certification:
- compTIA A+ certification (Preferred)
Ability to Relocate:
- Coos Bay, OR 97420: Relocate before starting work (Required)
Work Location: In person",,Indeed,,,,False, Feb_11_2024-10:11-PM
https://www.indeed.com/viewjob?jk=12b7c363dc31095e,Equipment Technician,Cennox,,"Atlanta, GA, USA",,2024-02-05,False,"Position Summary
:
 As a Bank Equipment Technician, you will be responsible for performing scheduled cleanings, updating signage, minor refurbishments, and other related work on bank equipment including Automated Teller Machines
 Duties and Responsibilities
:
-  Clean and detail exterior, update signage/decals, inspect electrical, perform minor refurbishments, and change light bulbs of Automated Teller Machines and Kiosks
-  Clean stainless-steel surfaces inside bank vaults
-  Perform preventative maintenance on money counting machines
-  Complete project work which may include alarm surveys, ADA compliance inspections, software updates, site surveys, lighting measurements, inspections etc.
-  Report defective material or inaccuracies
-  Organize and manage paperwork and inventory
-  Take meticulous photographs of required devices, forms, and areas
-  Complete jobs and paperwork correctly and in a timely manner
-  Perform other duties as assigned
 Skills and Requirements
:
-  Smart-phone familiarity and technologically savvy
-  Working knowledge of Microsoft Office (Word, Outlook, Excel)
-  Experience with mapping and routing applications such as MapPoint or Google Maps
-  Have mechanical/technological/electrical aptitude
-  Good organizational skills
-  Ability to interpret written instructions and documents
-  Ability to learn through telephone training
-  Ability to work independently with minimum supervision
-  Ability to communicate and provide excellent customer service
-  Valid driver's license and driving record in Good Standing
-  Ability to maintain a reliable vehicle and appropriate liability vehicle insurance to perform work in the area, as deemed appropriate by Cennox liability insurance policy, currently in place and as amended in the future
-  Subject to pre-employment drug and alcohol testing requirements, as well as at random, reasonable suspicion, and post-accident drug and alcohol tests as deemed appropriate by Cennox current approved drug testing policy
 Experience and Education:
-  Field experience, preferred
-  Previous technical/mechanical positions, preferred
-  High school diploma or equivalent
 Physical Requirements:
-  Ability to lift and move 50 or more pounds
-  Ability to work indoors and outside (including during inclement weather)
-  Ability to stand for long periods of time
-  Ability to sit and drive vehicle with extensive travel
-  Ability to climb, bend, stoop, and reach freely
-  Vision correctable to 20/20",,Indeed,,,,False, Feb_11_2024-10:11-PM
https://www.indeed.com/viewjob?jk=7ebd6c71b0b1aa55,Software Engineer,Ford Motor Company,,"Allen Park, MI, USA",fulltime,2024-02-11,True,"We are the movers of the world and the makers of the future. We get up every day, roll up our sleeves and build a better world - together. At Ford, we’re all a part of something bigger than ourselves. Are you ready to change the way the world moves? 
Enterprise Technology 
plays a critical part in shaping the future of mobility. If you’re looking for the chance to leverage advanced technology to redefine the transportation landscape, enhance the customer experience and improve people’s lives, this is the opportunity for you. Join us and challenge your IT expertise and analytical skills to help create vehicles that are as smart as you are. 
In this position... 
As a Dynamics 365 DevOps Engineer in the Assist Customer space, the ideal candidate must have a technical background and experience with Microsoft Dynamics 365 Customer Service and DevOps practices. They should be familiar with the platform's features, capabilities, and customization options. They will also enjoy solving complex problems, have strong interpersonal skills, and a desire for continuous improvement. 
This DevOps engineer will be a member of Ford’s Global Contact Center DevOps team. This team supports the agent experience, using Dynamics 365 Customer Service Enterprise, by deploying application solutions, maintaining supporting environments and supporting application interfaces.
You'll have... 
- Bachelor’s degree in Computer Science, Computer Engineering, Electrical Engineering or related field or a combination of education and equivalent work experience. 
- 5+ years of experience with progressive responsibilities in developing business solutions using Microsoft Technologies like .NET, MS Dynamics CRM, and SQL Server. 
- 3+ years of experience with developing new features in Microsoft Dynamics 365 Customer service module. 
- 1+ years of experience with CI/CD pipeline automation using Azure DevOps 
Even better, you may have... 
- Master’s Degree in Computer Science, Computer Engineering, Electrical Engineering or related field 
- Strong knowledge of DevOps practices and principles, including continuous integration, continuous delivery, automated testing, and deployment automation. 
- Experience with Microsoft Dynamics 365 and Power Platform Admin Portal. 
- Experience using Visual Studio 2019+. 
- Experience with SQL, Azure SQL Server and relational databases. 
- Knowledge of code version control and branching(GitHub enterprise, TFS, Azure DevOps). 
- Knowledge and experience with C#, JavaScript, CSS, HTML, AJAX is a plus. 
- Experience with MSFT Azure Application Insights, Log Analytics workspace and monitoring. 
- Azure Logic Apps , Web APPS, Azure Virtual machines, Azure App registration, Azure APIM  Power Automate (Cloud Flows). PowerApps, Power BI, App for Outlook. 
- ADX Studio Portal/ Power App Portal, Cafex Live Assist Chat, Omnichannel SMS/Chat, Twilio SMS, Cisco B&S call controls. 
- Windows PowerShell, Azure CLI, Microsoft power Platform CLI, configuration migration tool, plugin registration tool etc. 
- Excellent communication and collaboration skills, with the ability to work effectively in a team environment. 
- Self-driven to research and investigate modern technologies and concepts. 
You may not check every box, or your experience may look a little different from what we've outlined, but if you think you can bring value to Ford Motor Company, we encourage you to apply! 
As an established global company, we offer the benefit of choice. You can choose what your Ford future will look like: will your story span the globe, or keep you close to home? Will your career be a deep dive into what you love, or a series of new teams and new skills? Will you be a leader, a changemaker, a technical expert, a culture builder…or all of the above? No matter what you choose, we offer a work life that works for you, including: 
- Immediate medical, dental, and prescription drug coverage 
- Flexible family care, parental leave, new parent ramp-up programs, subsidized back-up childcare and more 
- Vehicle discount program for employees and family members, and management leases 
- Tuition assistance 
- Established and active employee resource groups 
- Paid time off for individual and team community service 
- A generous schedule of paid holidays, including the week between Christmas and New Year’s Day 
- Paid time off and the option to purchase additional vacation time. 
For a detailed look at our benefits, click here: 
https://corporate.ford.com/content/dam/corporate/us/en-us/documents/careers/2024-benefits-and-comp-GSR-sal-plan-2.pdf 
Visa sponsorship is available for this position 
Candidates for positions with Ford Motor Company must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire. 
We are an Equal Opportunity Employer committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status. In the United States, if you need a reasonable accommodation for the online application process due to a disability, please call 1-888-336-0660. 
#LI- hybrid
What you'll do... 
- Research, experiment, and apply Azure DevOps processes and tools to enable CI/CD and automate releases and deployments. 
- Build new features in Microsoft Dynamics 365 
- Establish and enforce release governance to ensure flawless launches 
- Engage with other stakeholders & teams across Assist Customer to coordinate releases 
- Collaborate with other PDO team and stakeholders to ensure that the product meets technical and business objectives. 
- Communicate effectively technical ideas, technical feedback, and collaborate with technical stakeholders. 
- Create, implement, and maintain technical documentation. 
- Diagnose and triage technical errors, data issues, and performance challenges. 
- Proactively provide feedback throughout the Agile journey, seeking for continuous process improvement. 
- Perform software and product updates recommended by Ford Motor company and/or other vendors. 
- Build and deployment process of various components including Dynamics CRM, PowerApps, Power Automate, Microsoft Azure, USD(unified Service desk) and Dealer portal(ADX Portal) components. 
- Develop CI/CD pipelines for deploying the MS Dynamics CRM 365 solutions, Azure Logic apps, Web API, Function Apps, Power apps, and Power Automate flows. 
- Maintain and refresh CRM instances through automation. 
- Integrate best in class security tools to improve code quality. 
- Implement PowerApps (Canvas Apps & Model Driven Apps) into solutions for continuous deployment process. 
- Maintain Source-code repository using GIT, and GitHub Enterprise.",,Indeed,,,,False, Feb_11_2024-10:11-PM
https://www.indeed.com/viewjob?jk=33b74029bf418b96,Designer,EasyHiring,,"Capitol Heights, MD, USA",fulltime,2024-02-11,False,"We are an 
EasyHiring 
recruiting company that is looking for candidates for our partners for the position of 
Controls Systems Technician
 in Capitol Heights, MD for work in Capitol Heights, MD.
What we offer:
· Competitive Starting Pay
· Paid Training
· Global Advancement Opportunities
· Company Vehicle (as applicable)
· Referral Bonuses
· Comprehensive Benefits
· Medical/Dental/Vision insurance
· Health Savings Account (HSA)
· Life Insurance
· 401(k) savings plan with company match
· Short-Term and Long-Term Disability
· Employee Assistance Program
· Wellness Program
· And More!
How you will do it
- Selects hardware designs from standard design library for flow diagrams, sequence of operations, bill of material, network layouts and electrical schematics as required.
- Performs software programming using established standards as a basis of design.
- Coordinates the creation of necessary drawings and equipment schedules for submittals and installation.
- Selects, orders, and tracks the delivery of materials for assigned projects. Coordinates factory-mounting processes to meet factory and project schedule.
- Assists in the loading and commissioning of all system and network-level controllers as required. Assists in validation of complete system functionality and troubleshoots problems with subcontractors and other trades to ensure proper operation.
- Gathers field changes from the project team and creates as-built drawings and software. Prepares proper documentation and/or manuals for system operation.
- Keeps management contractor or customer informed of job progress and issues.
- Assists in performing site-specific training for owner/operator on the total system.
- Completes paperwork including but not limited to time sheets, expense reports, and on-site
- documentation.
- Adheres to safety standards. High degree of regard to employee and subcontractor safety.
What we look for
Required
- Four years of experience with installing and/or commissioning controls systems including system-level controllers.
- Demonstrated knowledge of mechanical, electrical, and control systems.
- Demonstrated technical aptitude.
- Demonstrated advanced computer skills required, particularly computer-related drafting tools.
Preferred
· Associates or Bachelors in Mechanical /Electrical Engineering or Computer Science
Job Type: Full-time
Work Location: On the road",,Indeed,,,,False, Feb_11_2024-10:11-PM
https://www.indeed.com/viewjob?jk=6964d7bb066574ee,Lead Data Scientist,Oracle,,USA,fulltime,2024-02-11,False,"Invent, implement and deploy state-of-the-art machine learning and/or specific domain industry algorithms and systems. Build prototypes and explore conceptually new solutions. Work collaboratively with science, engineering, and product teams to identify customer needs in order to build and implement solutions, promote innovation and drive model implementations. Applies data science capabilities and research findings to build and implement solutions to scale. Responsible for developing new intelligence around core products and services through applied research on behalf of our customers. Develops models, prototypes, and experiments that pave the way for innovative products and services. Build cloud services that work out of the box for enterprises, e.g. decision support, anomaly detection, forecasting and recommendations), natural language processing (NLP), Natural Language Understanding (NLU),Time Series, Automatic Speech Recognition (ASR), Machine Learning (ML), and Computer Vision (CV). Design and run experiments, research new algorithms, and find new ways of optimizing risk, profitability, and customer experience. Conversant on ethical problems in consideration of sciences.
Drives and plans implementation of company policy for achieving business goals. Defines the bar for science practices, and helps teams achieve those goals. Identifies and mitigates risks across full set of systems, particularly at the intersection of business and engineering. Innovate AI and ML powered solutions (rich APIs, ML models and end to end services) with strategic ISVs and customers. Develop deep product intuition to influence future product roadmaps and drive decision making. Clearly articulate technical work to audiences of all levels and across multiple functional areas in both internal and external settings. Engage in forward looking research both internal and with academic institutions globally. Hires and mentors across the org. Perform an active role in team planning, review and retrospective events. Ensures experiments are ready for hand-off to Software Developers ship into production. May perform other duties as assigned.",,Indeed,,,,False, Feb_11_2024-10:11-PM
https://www.indeed.com/viewjob?jk=0afaa7e258b51097,Test Engineer Entry Level,Pats Small Engine Plus,,"East Bethel, MN, USA",fulltime,2024-02-11,False,"Assist customers with parts look up over the counter or phone. No Cold Calling, Must have general small engine knowledge. Willing to learn about new products. Needing a team player, helping where help is needed, whether on the parts counter, warehouse or in the Shop putting together new equipment. Also be reliable and willing to work some 9am-12pm Saturday shifts.
Excel, PartSmart and Sage software knowledge a bonus, but willing to train.
Commission pay also available for those interested in selling Zero Turn Lawn Mowers.
Hours would be Monday through Friday 9am-5pm and some Saturdays 9am-12pm.
We offer 401k, holiday pay, paid vacation and sick days.
Benefit Conditions:
- Waiting period may apply
This Job Is:
- A job for which military experienced candidates are encouraged to apply
- Open to applicants who do not have a college diploma
Work Remotely
- No
Job Type: Full-time
Pay: $15.00 - $18.00 per hour
Expected hours: 40 per week
Benefits:
- 401(k)
- 401(k) matching
- Employee discount
- Paid time off
Schedule:
- 8 hour shift
- Monday to Friday
- Weekends as needed
Supplemental pay types:
- Commission pay
Application Question(s):
- General Engine Knowledge
Work Location: In person",,Indeed,,,,False, Feb_11_2024-10:11-PM
https://www.indeed.com/viewjob?jk=e79b51cb69ffde20,Retail Sales Associate,bealls,,"Bluefield, VA, USA",parttime,2024-02-12,False,"Position: 
STORE ASSOCIATE
 Non-Exempt: Associate
 
Come join a team that brings a people-first approach to everything we do! bealls and Home Centric are a part of Bealls Inc., a family owned and operated business where “We Outfit the Family for Less”. Being a growing organization with our eye to the future, we continue to enter new markets and expand the guest footprint. As an organization, we encourage authenticity, reward accountability, and provide stability and life balance to associates.
 If you enjoy working with amazing team members in an energetic and fast paced environment, you will love the team-focused culture at bealls and Home Centric. We are passionate about the connection we make with the guest and dedicated to exceeding their expectations. You will be empowered to make the shopping experience thrilling and seamless for our guest and be part of a dedicated team that shows pride and passion in all they do!
 AS A STORE ASSOCIATE A TYPICAL DAY INCLUDES THE FOLLOWING:
- Being part of a team that delivers an exceptional guest experience and drives sales through customer service
- Building guest loyalty through promoting and educating the guest on credit and loyalty programs
- Executing store merchandising direction and standards, product flow, inventory flexing, and store operations functions to ensure consistency of brand experience
- Understanding and usage of company standard software, systems, and procedures
- Engaging in teamwork to accomplish goals
- Performs other duties as assigned
 
WHAT WE ARE LOOKING FOR IN A BEALLS OR HOME CENTRIC STORE ASSOCIATE:
- Customer Service Experience Preferred
- Must have strong verbal communication skills
- Work both independently and with a team to accomplish tasks, solve problems, and achieve goals
- Helpful attitude toward guests and other team members
- Attention to detail and follow multi-step processes
- Utilization of Zebra PDA and POS Systems
- Ability to work varying hours and schedules to include days, mid shifts, nights, weekends, and holidays
PHYSICAL DEMANDS:
- Must have adequate vision, speech, hearing, and physical ability to perform essential job functions, with or without reasonable accommodations
- Must be able to lift, push, pull and carry at least 20 pounds
- Must have full body rotation and mobility (i.e. – bending, stopping, twisting, and reaching)
- Must possess reliable transportation",,Indeed,,,,False, Feb_11_2024-10:11-PM
