job_link,title,company,company_link,location,employment_details,date_posted,is_remote,description_list,employment_pay,job_board,date_updated,company_logo,employment_skills,easy_apply,scraped_at
https://www.linkedin.com/jobs/view/3814200959,Software Engineer- Early Career,Lockheed Martin,https://www.linkedin.com/company/lockheed-martin,"Colorado Springs, CO",fulltime,2024-01-29,,"Description:
By bringing together people that use their passion for purposeful innovation, at Lockheed Martin we keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.
With our employees as our priority, we provide diverse career opportunities designed to propel development and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work.
At Lockheed Martin, we place an emphasis on empowering our employees by fostering innovation, integrity, and exemplifying the epitome of corporate responsibility.
Your Mission is Ours.
Lockheed Martin Space is seeking a full-time Software Engineer- Early Career. In this role, you will design, develop, document, test, and debug software that contains logical and mathematical solutions to mission problems. You will also correct program errors, prepare operating instructions, compile documentation of program development, and analyze system capabilities to resolve questions of program intent, output requirements, input data acquisition, programming techniques, and controls. The successful candidate will have experience and/or knowledge of agile methods and practices and Object-oriented programming.
Must be a US Citizen; this position will require a government security clearance. This position is located at a facility that requires special access.
Basic Qualifications
Bachelor’s degree in Computer Science, Software Engineering, Electrical Engineering, Computer Engineering, Physics, Mathematics, or related field.
Proficient with one of the following C/C++, C#, and Python Programming Languages.
Must be a US Citizen ; this position will require a government security clearance. This position is located at a facility that requires special access.
Desired Skills
Familiar with Object-Oriented Programming and common software development design patterns.
Familiar with writing unit tests, and documenting testing steps used to validate software solutions.
Familiar working within an Agile team environment.
Security Clearance Statement: 
This position requires a government security clearance, you must be a US Citizen for consideration.
Clearance Level: 
Secret
Other Important Information You Should Know
Expression of Interest: 
By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.
Ability to Work Remotely: 
Onsite Full-time: The work associated with this position will be performed onsite at a designated Lockheed Martin facility.
Work Schedules: 
Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.
Schedule for this Position: 
Standard Monday to Friday 40 hour work week
Pay Rate
The annual base salary range for this position in California and New York (excluding most major metropolitan areas), Colorado, or Washington is $57,800 - $110,800 . Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/ training, key skills as well as market and business considerations when extending an offer.
Benefits offered:
 Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.
(Washington state applicants only) Non-represented full-time employees: accrue at least 10 hours per month of Paid Time Off (PTO) to be used for incidental absences and other reasons; receive at least 90 hours for holidays. Represented full time employees accrue 6.67 hours of Vacation per month; accrue up to 52 hours of sick leave annually; receive at least 96 hours for holidays. PTO, Vacation, sick leave, and holiday hours are prorated based on start date during the calendar year.
This position is incentive plan eligible.
Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
The application window will close in 90 days; applicants are encouraged to apply within 5 - 30 days of the requisition posting date in order to receive optimal consideration.
At Lockheed Martin, we use our passion for purposeful innovation to help keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.
With our employees as our priority, we provide diverse career opportunities designed to propel, develop, and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. We place an emphasis on empowering our employees by fostering an inclusive environment built upon integrity and corporate responsibility.
If this sounds like a culture you connect with, you’re invited to apply for this role. Or, if you are unsure whether your experience aligns with the requirements of this position, we encourage you to search on Lockheed Martin Jobs, and apply for roles that align with your qualifications.
Experience Level: 
4 yr and up College
Business Unit: 
SPACE
Relocation Available: 
Possible
Career Area: 
Software Engineering
Type: 
Full-Time
Shift: 
First",,LinkedIn,,,,False, Feb_11_2024-10:13-PM
https://www.linkedin.com/jobs/view/3815624574,Software Engineer - Intern,Lockheed Martin,https://www.linkedin.com/company/lockheed-martin,"Moorestown, NJ",internship,2024-01-31,,"Description:
Here at Lockheed Martin, we are working on
many exciting programs and developing cutting edge products and applications to meet the
complex and evolving needs of our customers. We are looking for talented software
engineering interns to join our team, working with other engineering disciplines to help
develop many best-in-class products and
solutions. The successful candidate will be
flexible, motivated, dedicated, detail-focused, team-oriented, and capable of multi-tasking.
Candidate will support software engineering tasks for VLS Launchers & Weapons programs.
Basic Qualifications
- Pursuing a Bachelor's degree in a technical degree program in an engineering or related field (e.g. Software Engineering and/or Computer Engineering) from an accredited University.
- Ability to attain a security clearance.
Desired Skills
-  Solid Foundation in Software Design Concepts
-  Familiarity of C++ language
-  Team player, able to work within group project
-  Presentation Skills: Ability to Present Technical Information to Greater Audience
-  Candidate must possess good communication skills and be able to work with minimal day to day supervision.
Clearance Level: 
None
Other Important Information You Should Know
Expression of Interest: 
By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.
Ability to Work Remotely: 
Part-time Remote Telework: The employee selected for this position will work part of their work schedule remotely and part of their work schedule at a designated Lockheed Martin facility. The specific weekly schedule will be discussed during the hiring process.
Work Schedules: 
Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.
Schedule for this Position: 
4x10 hour day, 3 days off per week
Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
The application window will close in 90 days; applicants are encouraged to apply within 5 - 30 days of the requisition posting date in order to receive optimal consideration.
At Lockheed Martin, we use our passion for purposeful innovation to help keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.
With our employees as our priority, we provide diverse career opportunities designed to propel, develop, and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. We place an emphasis on empowering our employees by fostering an inclusive environment built upon integrity and corporate responsibility.
If this sounds like a culture you connect with, you’re invited to apply for this role. Or, if you are unsure whether your experience aligns with the requirements of this position, we encourage you to search on Lockheed Martin Jobs, and apply for roles that align with your qualifications.
Experience Level: 
Co-op/Summer Intern
Business Unit: 
RMS
Relocation Available: 
Possible
Career Area: 
Software Engineering
Type: 
Part-Time
Shift: 
First",,LinkedIn,,,,False, Feb_11_2024-10:13-PM
https://www.linkedin.com/jobs/view/3809450501,Front End Software Engineer,DynamoFL,https://www.linkedin.com/company/dynamofl,"San Francisco, CA",fulltime,2024-01-19,,"→ 
UPDATE: Only applications submitted to dynamofl.com/apply-now will be considered.
Mission
At DynamoFL, We Believe That AI Must Be Developed With Privacy, Personalization, And Real-world Constraints In Mind. Our Engineering Culture Combines Cutting-edge Technology With a Passionate Sense Of Product Ownership. We Empower Fortune 500 Companies’ Adoption Of Frontier Research For Their Next Generation Of AI Products. Join Us If You
- Continue to stay ahead of competition by creating products that are better, faster, and more beautiful
- Wish to work on a fast-paced team of builders
- Are motivated to work at a rapidly expanding startup and see your impact on end customers in the timeframe of weeks not years. ‍
Responsibilities
- Develop and implement efficient, responsive, and visually appealing user interfaces using ReactJS and Typescript.
- Collaborate with the design team to integrate visual elements into the applications.
- Utilize Tailwind UI to enhance and streamline the styling and layout of web applications.
- Rapidly prototype and deliver Minimum Viable Products (MVPs) with a focus on speed and quality.
- Work closely with back-end developers to integrate front-end components with server-side logic.
- Identify and address performance bottlenecks and ensure the applications are optimized for speed.
Expectations
- 3-5 years of professional experience in front-end development, specifically using ReactJS and Typescript.
- Proficiency in utilizing Tailwind UI for creating modern and visually appealing user interfaces.
- Ability to showcase a portfolio demonstrating past projects and achievements.
- Strong understanding of web development best practices and trends.
- Experience with version control systems (e.g., Git) and collaborative development workflows.",,LinkedIn,,,,False, Feb_11_2024-10:13-PM
https://www.linkedin.com/jobs/view/3809770416,Software Engineer (Skill Level 0),Lockheed Martin,https://www.linkedin.com/company/lockheed-martin,"Annapolis Junction, MD",fulltime,2024-01-18,,"This position is participating in our 
 External Referral Program
. If you know somebody who may be a fit, click here to submit a referral. If your referral is hired, you'll receive a $3,000 payment!
code-extrefer
There are people who say some ideas are impossible, unattainable or unrealistic. Then there are those of us who work at Lockheed Martin Rotary and Mission Systems. As a part of the Lockheed Martin community, we take on the biggest, baddest challenges in the world and find solutions using creativity and collaboration.
AND WHERE THE SOLUTIONS DON’T EXIST? WE INVENT THEM.
So, if you’re looking for the challenge of a lifetime and a team of the brightest minds in the world, Rotary and Mission Systems is the place for you. If you’re looking for a place where learning is a way of life, Rotary and Mission Systems is the place for you. And if you’re looking for a career that’s just as fun as it is hard work, well…you know.
Join us today and let’s make a difference together.
Lockheed Martin. Your Mission is Ours.
ABOUT OUR MISSION (https://www.lockheedmartin.com/en-us/who-we-are/business-areas/rotary-and-mission-systems.)
At Lockheed Martin Rotary and Mission Systems, Cyber & Intelligence, we are driven by innovation and integrity. We believe that by applying the highest standards of business ethics and forward-thinking, everything is within our reach – and yours as Lockheed Martin employee. Lockheed Martin values your skills, training and education. Come and experience your future!
The Software Engineer develops, maintains, and enhances complex and diverse software systems (e.g., processing-intensive analytics, novel algorithm development, manipulation of very large data sets, real-time systems, and business management information systems) based upon documented requirements. Works individually or as part of a team. Reviews and tests software components for alignment to the design requirements and documents test results. Resolves software problem reports. Utilizes software development and software design methodologies appropriate to the development environment. Provides specific guidance to the software components of system design to include hardware/software trade- offs, software reuse, use of Commercial Off-the-shelf (COTS)/Government Off-the-shelf (GOTS) in place of new.
NOTE: This position requires an active Department of Defense TS/SCI W/ Security and US citizenship for selection.
Benefits Of Employment
We may not know what's going to change the world next, but chances are we're already working on it, and you can, too. As part of our culture of innovation, you’ll have excellent benefits and amenities, an inclusive work environment, ongoing career development and support, rewards and recognition to honor your hard work, and more.
Here Are Some Of The Benefits You Can Enjoy
-  Medical
-  Dental
-  401k
-  Paid time off
-  Work/life balance
-  Career development
-  Mentorship opportunities
-  Rewards & recognition
Learn more about Lockheed Martin’s competitive and comprehensive benefits package.
Lockheed Martin’s competitive and comprehensive benefits package. (https://www.lockheedmartinjobs.com/working-here#benefits)
We support our employees, so they can support our mission.
#RMSC6ISR",,LinkedIn,,,,False, Feb_11_2024-10:13-PM
https://www.linkedin.com/jobs/view/3787799677,Software Engineer,SpiderOak,https://www.linkedin.com/company/spideroak,"Austin, TX",fulltime,2023-12-16,,"We're only as strong as our weakest link.
In the past, launch operations were vertically integrated, allowing space organizations to build cybersecurity systems based on internal trust. Today, the horizontal integration of ground stations, spacecraft, and payloads means trusting third parties with mission-critical data.
SpiderOak is committed to building secure and reliable software that protects our customers’ data. Our approach is fundamentally different from most mainstream security companies. Instead of adding layers of security on top of an insecure system, we build software that is inherently secure.
SpiderOak builds need-to-know technology that supports customers working in hostile environments. Traditional systems trust IT infrastructure to maintain the whole security system, even though the news is rife with evidence that this model does not work. Our software combines end to end encryption with a distributed ledger (aka Blockchain) technology to offer best-in-class security with no backdoors.
Who We Need
- A curious, creative, Software Engineer with relevant work experience in an Agile/Scrum environment. You'll have a desire to continue to build your skills and knowledge in Cryptography, or you'll bring some experience with Cryptography to SpiderOak. 
- Someone with experience working in Rust (and C++) who can provide us with knowledge and experience in writing reliable, maintainable code.
- You will thrive at SpiderOak if you have a sense of initiative and are a self-starter who enjoys working collaboratively across cross-functional teams, with the unique ability to work in a fully remote/virtual environment. 
What You'll Do
- Develop and/or maintain advanced knowledge of computing system integrations and make recommendations or decisions on software and hardware configurations and developments.
- Provide analysis and recommended design of applications, middleware, and system architecture to solve complex problems.
- Apply a structured approach to design and implementation of systems and processes.
- Translate mission and customer requirements into capabilities, testing, and validation of services.
- Analyze and allocates requirements to system architecture components and oversee the development, testing, and validation of systems and services.
- Coordinate the integration of systems and services and oversee deployments.
- Extend our current codebase to provide new capabilities and enhanced assurance and performance.
What To Expect
- In the first year in the role, you'll be learning to collaborate with multiple teams in order to understand our product, Orbitsecure. An ability to understand hardware configurations, and how to develop or alter solutions around multiple environments, will be key to your success. All this leads to our ultimate goal: Successfully deploying Orbitsecure in space.
- Some travel, up to 10%, may be required.
- SpiderOak Inc. and Mission Systems is a 100% remote-based working environment. Our culture is based on trust and flexibility. We believe our employees are the key to our success, and welcome new ideas and talents.
- We provide a wide-range of benefits including health care coverage, a 401(k) plan w/employer match, employer paid life insurance policy, short-term and long-term disability policies, paid maternity and paternity leave, PTO, paid sick leave, and other benefits. 
What We Provide
SpiderOak Inc. and Mission Systems is a 100% remote-based working environment. Our culture is built on trust and flexibility. We believe our employees are the key to our success, and welcome new ideas and talents.
We are an equal opportunity employer that is committed to diversity and inclusion in the workplace. We prohibit discrimination and harassment of any kind based on race, color, sex, religion, sexual orientation, national origin, disability, genetic information, pregnancy, or any other protected characteristic as outlined by federal, state, or local laws. In other words, we welcome you just as you are!
To learn more about SpiderOak Inc. and Mission Systems, visit our website at:
Powered by JazzHR
nWYdNY8sRZ",,LinkedIn,,,,False, Feb_11_2024-10:13-PM
https://www.linkedin.com/jobs/view/3812087167,"Software Systems Engineer - Early Career - Orlando, FL",Lockheed Martin,https://www.linkedin.com/company/lockheed-martin,"Orlando, FL",fulltime,2024-01-25,,"Description:
Lockheed Martin is seeking an entry-level engineer who is passionate about creating and improving mission planning software and precision target module software utilized by a long-range missile system. Mission planning software is used to determine the optimal flight route to achieve mission objectives, taking into consideration the battlespace at the time of flight.
The Tasks For This Position Include
- Learn the intricate details of mission planning for a missile system
- Help to develop and allocate the software requirements
- Create or update test procedures
- Perform testing of the software across a variety of flight scenarios to verify requirements compliance.
- Troubleshooting non-conformances.
- Interact with government technical customers and end-users to understand the needs of the customer, and to train end-users as needed in the use of the software.
- Create and manage software change reports, design requirement specifications
- Perform software integration with support from software engineers
The engineer will support multiple US and international contracts, and will interact with customers, subcontractors, and associate contractors. Some travel to support stakeholders (<20%) may be required.
Basic Qualifications
- Bachelor's Degree in relevant STEM Field (Engineering, Applied Mathematics, Computer Science)
- Desire to learn about weapon mission planning and the software creation and testing process
-  Must be US citizen
Desired Skills
- Operating system experience on PC/Windows
- Software development experience
- Coursework/Experience in Artificial Intelligence/Machine Learning
Security Clearance Statement: 
This position requires a government security clearance, you must be a US Citizen for consideration.
Clearance Level: 
Secret
Other Important Information You Should Know
Expression of Interest: 
By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.
Ability to Work Remotely: 
Onsite Full-time: The work associated with this position will be performed onsite at a designated Lockheed Martin facility.
Work Schedules: 
Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.
Schedule for this Position: 
4x10 hour day, 3 days off per week
Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
The application window will close in 90 days; applicants are encouraged to apply within 5 - 30 days of the requisition posting date in order to receive optimal consideration.
At Lockheed Martin, we use our passion for purposeful innovation to help keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.
With our employees as our priority, we provide diverse career opportunities designed to propel, develop, and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. We place an emphasis on empowering our employees by fostering an inclusive environment built upon integrity and corporate responsibility.
If this sounds like a culture you connect with, you’re invited to apply for this role. Or, if you are unsure whether your experience aligns with the requirements of this position, we encourage you to search on Lockheed Martin Jobs, and apply for roles that align with your qualifications.
Experience Level: 
4 yr and up College
Business Unit: 
MISSILES AND FIRE CONTROL
Relocation Available: 
Possible
Career Area: 
Systems Engineering: Software
Type: 
Full-Time
Shift: 
First",,LinkedIn,,,,False, Feb_11_2024-10:13-PM
https://www.linkedin.com/jobs/view/3827584267,Junior Node.JS Developer,Team Remotely Inc,https://www.linkedin.com/company/team-remotely-llc,"Los Angeles, CA",fulltime,,,"This is a remote position.
 
Junior Node.JS Developer
 (1 year experience, remote)
Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process.
 Hiring Type:
 Full-Time
 Base Salary:
 $56K-$66K Per Annum.
Description:
In this role, you will work closely with experienced developers and contribute to the design, development, and maintenance of robust and scalable applications using Node.js. This is an excellent opportunity for someone looking to kick-start their career in web development.
Responsibilities:
- Collaborate with the development team to gather project requirements and specifications. 
- Assist in the design, development, and maintenance of server-side applications using Node.js. 
- Learn to develop and consume RESTful APIs, integrating with third-party services. 
- Write clean and efficient code following best practices and coding standards. 
- Participate in unit testing and debugging to ensure code quality and reliability. 
- Collaborate with front-end developers to integrate server-side logic with client-side components. 
- Contribute to code reviews and actively participate in knowledge sharing. 
- Stay updated with emerging technologies and industry trends to enhance your skills and knowledge. 
- Seek guidance and support from senior team members to resolve technical issues. 
Qualifications
- Bachelor's degree in Computer Science, Software Engineering, or a related field. 
- Basic understanding of JavaScript and web technologies. 
- Familiarity with Node.js and its ecosystem. 
- Understanding of asynchronous programming and event-driven architecture. 
- Knowledge of databases and SQL. 
- Strong problem-solving and analytical skills. 
- Excellent communication and collaboration abilities. 
- Eagerness to learn and a passion for web development. 
- Ability to work both independently and in a team-oriented, collaborative environment. 
Benefits:
- Competitive salary based on skills, qualifications, and experience. 
- Comprehensive health, dental, and vision insurance plans. 
- Paid time off and holidays. 
- Flexible work schedule and remote work options. 
- Mentorship and guidance from experienced developers. 
- Learning and growth opportunities to enhance your skills and knowledge in web development. 
- Access to resources and training programs to stay updated with emerging technologies and industry trends.",,LinkedIn,,,,False, Feb_11_2024-10:13-PM
https://www.linkedin.com/jobs/view/3818772912,Entry Level - Software Developer,"Can/Am Technologies, Inc.",https://www.linkedin.com/company/can-am-technologies-inc-,"Lakewood, CO",fulltime,2024-01-31,,"About Can/Am Technologies
At Can/Am, we have been creating great software that empowers our clients to provide outstanding service to their customers for over 15 years. Our Teller Cash Receipting software is an industry-leading solution that automates and streamlines cash handling and financial management practices for State, County and City governments. Can/Am operates in Denver Colorado, Edmonton Alberta, and Portland Oregon, serving clients across North America.
We've built an 
engaged
 team of hard-working and 
collaborative
 people in our US and Canadian locations. Successful Can/Am team members model these values:
- Pursue thoughtful understanding | approaching every situation and person with compassion, seeking to gain insight at a deeper level
- Challenge reality | aspiring to improve with candor and future-focused ambition
- Engage growth together | cultivating a dynamic environment with opportunities to learn, have fun, and realize full potential
- Spark | igniting joyful experiences and innovative solutions with passion and energy
- Pay it forward | creating lasting value by investing generously in our people, platforms and community
Position Summary
Can/Am has a strong referral backing of clients that love our product and our employees. Our cashiering/payment software integrates with many enterprise applications. We are looking for bright and talented individuals with a passion for development and improvement to aid our team in the pursuit of continuing to offer a fantastic product and fabulous service to our clients.
Qualifications
The candidate should be a fast learner with an aptitude for understanding and maintaining complex systems.
- In-depth knowledge of object-oriented languages (Preferably C#). 
- Completed a cyber security course (Preferably) 
- Excellent written, verbal communication and presentation skills, both with team members and clients.
- Technical knowledge to do performance analysis.
- Effective problem-solving skills, able to rigorously identify the root cause to resolve technical problems.
- Familiar with Continuous Integration and Continuous Deployment (CI/CD) concepts and practices. 
- Proficient with GIT.
Key Goals and Success Criteria
- Passion for learning and creating technology that delivers a fabulous end-user experience.
- Works well in a distributed team setting.
- Self-starter, owning responsibility for deliverables and working with others to complete tasks in a timely manner. 
- Analytical and detail oriented.
- Strong communication (written and verbal) with both technical teams and clients. 
- Intuitive understanding of UX/UI design and a passion for the end user experience. 
Activities
- Write high quality shippable code that implements features and solves complex problems in Can/Am products.
- Ensure quality through personal testing, automated unit tests, and fixing product bugs.
- Provide expert input into product designs through team discussion and participation in design review meetings.
- Provide technical and troubleshooting services for client support issues raised by users of Can/Am products.
What You Will Receive
- Work culture that exemplifies our values
- Flexible work schedule
- Medical, vision and dental benefits with 80% coverage of premiums
- Life
- 401K up to a 4% match
- Compensation starting at $75,000 annual base salary
If you are qualified for this position and have a passion for developing user-friendly applications, we would love to hear from you!
EOE Statement
Can/Am is an Equal Opportunity Employer that does not discriminate on the basis of age, race, sex, religion, national origin, disability, or any other non-merit factor protected by applicable federal, state, and local laws.
Can/Am is committed to working with and providing reasonable accommodation for qualified individuals with disabilities and disabled veterans in our job application process. If you need assistance or accommodation due to a disability, please contact HR@canamtechnologies.com and let us know the nature of your request and your contact information.
Powered by JazzHR
w4yRKp9DpA",,LinkedIn,,,,False, Feb_11_2024-10:13-PM
https://www.linkedin.com/jobs/view/3809449587,Front End Software Engineer,DynamoFL,https://www.linkedin.com/company/dynamofl,"New York, NY",fulltime,2024-01-19,,"→ 
UPDATE: Only applications submitted to dynamofl.com/apply-now will be considered.
Mission
At DynamoFL, We Believe That AI Must Be Developed With Privacy, Personalization, And Real-world Constraints In Mind. Our Engineering Culture Combines Cutting-edge Technology With a Passionate Sense Of Product Ownership. We Empower Fortune 500 Companies’ Adoption Of Frontier Research For Their Next Generation Of AI Products. Join Us If You
- Continue to stay ahead of competition by creating products that are better, faster, and more beautiful
- Wish to work on a fast-paced team of builders
- Are motivated to work at a rapidly expanding startup and see your impact on end customers in the timeframe of weeks not years. ‍
Responsibilities
- Develop and implement efficient, responsive, and visually appealing user interfaces using ReactJS and Typescript.
- Collaborate with the design team to integrate visual elements into the applications.
- Utilize Tailwind UI to enhance and streamline the styling and layout of web applications.
- Rapidly prototype and deliver Minimum Viable Products (MVPs) with a focus on speed and quality.
- Work closely with back-end developers to integrate front-end components with server-side logic.
- Identify and address performance bottlenecks and ensure the applications are optimized for speed.
Expectations
- 3-5 years of professional experience in front-end development, specifically using ReactJS and Typescript.
- Proficiency in utilizing Tailwind UI for creating modern and visually appealing user interfaces.
- Ability to showcase a portfolio demonstrating past projects and achievements.
- Strong understanding of web development best practices and trends.
- Experience with version control systems (e.g., Git) and collaborative development workflows.",,LinkedIn,,,,False, Feb_11_2024-10:13-PM
https://www.linkedin.com/jobs/view/3801061037,Jr. Software Engineer,"Liquid Advertising, Inc.",https://www.linkedin.com/company/liquidadvertising,"Ann Arbor, MI",fulltime,2024-01-07,,"First, a little about us:
- Born in 2000 as an ad agency for the video game, entertainment, and technology communities
- 80 teammates strong across the US, LATAM, and European markets
- Our employee turnover has historically been ~8% annually
- Ad agency partner for Bethesda Softworks, Square Enix, CD Projekt Red, Riot Forge, Capcom, Sega, and other top gaming and entertainment partners. See our work at www.liquidadvertising.com 
- This can be a hybrid or remote position, based in Michigan
What’s this position about?
We run dozens of digital advertising campaigns, spending millions of dollars, daily on behalf of our clients—some of the most successful videogame publishers in the industry. Our analytics team helps ensure that we’re investing those advertising dollars in the most effective and efficient way possible. This can result in analytics projects that vary widely in complexity, using datasets with millions of rows of data. As the successful candidate, you’ll build the software that enables our analytics tools.
This position will work on complex, challenging software development projects, delivering solutions for both the analytics team and non-technical end users. Our software connects data pipelines that transform millions of lines of data to front-end web applications that enable technical and non-technical end-users better ways to interact with internal and external data.
Our tech stack is a Python backend, Javascript front-end, and PostgreSQL database hosted on AWS.
We consistently allow for team members to take on additional projects where they find interest and have been able to provide immense value to the agency this way.
Requirements
What do we look for?
You will have a technical degree (bachelors level or better) including significant coding projects, and preferably with professional coding experience. Your technical skills will include—
- Core qualifications include strength with Python coding and experience with SQL and other data-focused scripting
- Preferred candidates will also have an understanding of Flask, JavaScript, and/or other web tools
- You’ll have developed software projects from beginning to end either independently or with a broader team (please provide evidence of this in your application -- github, website, or code samples from a class project)
Benefits
The perks we offer
Base salary for this role is in the $50k-$70k range DOE. You’ll also be eligible for a generous annual bonus plan.
Our people enjoy fully paid premiums for comprehensive health insurance, generous paid time off plans, and 100% match on 401k savings. We've traveled together to Puerto Vallarta, Hawaii, Cabo, and New Orleans together the last few years.
Our stance
Liquid Advertising is committed to creating an anti-racist, anti-sexist environment. We’re building an ad agency where committed and creative people from all backgrounds can do their best work.
No agencies, please. This is a pretty good representation of this position’s responsibilities but is not a comprehensive job description. Duties, clients, and team assignments may change as assigned. We regret we cannot consider applicants outside of the United States or those requiring visa sponsorship at this time.",,LinkedIn,,,,False, Feb_11_2024-10:13-PM
